model,layers,use
SayCam,layer2.0.downsample,
SayCam,layer2.0.downsample.0,
SayCam,layer2.0.downsample.1,
SayCam,layer2.1,
SayCam,layer2.1.conv1,
SayCam,layer2.1.bn1,
SayCam,layer2.1.conv2,
SayCam,layer2.1.bn2,
SayCam,layer2.1.conv3,
SayCam,layer2.1.bn3,
SayCam,layer2.1.relu,
SayCam,layer2.2,
SayCam,layer2.2.conv1,
SayCam,layer2.2.bn1,
SayCam,layer2.2.conv2,
SayCam,layer2.2.bn2,
SayCam,layer2.2.conv3,
SayCam,layer2.2.bn3,
SayCam,layer2.2.relu,
SayCam,layer2.3,
SayCam,layer2.3.conv1,
SayCam,layer2.3.bn1,
SayCam,layer2.3.conv2,
SayCam,layer2.3.bn2,
SayCam,layer2.3.conv3,
SayCam,layer2.3.bn3,
SayCam,layer2.3.relu,1
SayCam,layer3,
SayCam,layer3.0,
SayCam,layer3.0.conv1,
SayCam,layer3.0.bn1,
SayCam,layer3.0.conv2,
SayCam,layer3.0.bn2,
SayCam,layer3.0.conv3,
SayCam,layer3.0.bn3,
SayCam,layer3.0.relu,
SayCam,layer3.0.downsample,
SayCam,layer3.0.downsample.0,
SayCam,layer3.0.downsample.1,
SayCam,layer3.1,
SayCam,layer3.1.conv1,
SayCam,layer3.1.bn1,
SayCam,layer3.1.conv2,
SayCam,layer3.1.bn2,
SayCam,layer3.1.conv3,
SayCam,layer3.1.bn3,
SayCam,layer3.1.relu,
SayCam,layer3.2,
SayCam,layer3.2.conv1,
SayCam,layer3.2.bn1,
SayCam,layer3.2.conv2,
SayCam,layer3.2.bn2,
SayCam,layer3.2.conv3,
SayCam,layer3.2.bn3,
SayCam,layer3.2.relu,
SayCam,layer3.3,
SayCam,layer3.3.conv1,
SayCam,layer3.3.bn1,
SayCam,layer3.3.conv2,
SayCam,layer3.3.bn2,
SayCam,layer3.3.conv3,
SayCam,layer3.3.bn3,
SayCam,layer3.3.relu,
SayCam,layer3.4,
SayCam,layer3.4.conv1,
SayCam,layer3.4.bn1,
SayCam,layer3.4.conv2,
SayCam,layer3.4.bn2,
SayCam,layer3.4.conv3,
SayCam,layer3.4.bn3,
SayCam,layer3.4.relu,
SayCam,layer3.5,
SayCam,layer3.5.conv1,
SayCam,layer3.5.bn1,
SayCam,layer3.5.conv2,
SayCam,layer3.5.bn2,
SayCam,layer3.5.conv3,
SayCam,layer3.5.bn3,
SayCam,layer3.5.relu,1
SayCam,layer4,
SayCam,layer4.0,
SayCam,layer4.0.conv1,
SayCam,layer4.0.bn1,
SayCam,layer4.0.conv2,
SayCam,layer4.0.bn2,
SayCam,layer4.0.conv3,
SayCam,layer4.0.bn3,
SayCam,layer4.0.relu,
SayCam,layer4.0.downsample,
SayCam,layer4.0.downsample.0,
SayCam,layer4.0.downsample.1,
SayCam,layer4.1,
SayCam,layer4.1.conv1,
SayCam,layer4.1.bn1,
SayCam,layer4.1.conv2,
SayCam,layer4.1.bn2,
SayCam,layer4.1.conv3,
SayCam,layer4.1.bn3,
SayCam,layer4.1.relu,
SayCam,layer4.2,
SayCam,layer4.2.conv1,
SayCam,layer4.2.bn1,
SayCam,layer4.2.conv2,
SayCam,layer4.2.bn2,
SayCam,layer4.2.conv3,
SayCam,layer4.2.bn3,
SayCam,layer4.2.relu,1
SayCam,avgpool,1
SayCam,fc,
cvcl,,
cvcl,vision_encoder,
cvcl,vision_encoder.model,
cvcl,vision_encoder.model.conv1,
cvcl,vision_encoder.model.bn1,
cvcl,vision_encoder.model.relu,
cvcl,vision_encoder.model.maxpool,
cvcl,vision_encoder.model.layer1,
cvcl,vision_encoder.model.layer1.0,
cvcl,vision_encoder.model.layer1.0.conv1,
cvcl,vision_encoder.model.layer1.0.bn1,
cvcl,vision_encoder.model.layer1.0.conv2,
cvcl,vision_encoder.model.layer1.0.bn2,
cvcl,vision_encoder.model.layer1.0.conv3,
cvcl,vision_encoder.model.layer1.0.bn3,
cvcl,vision_encoder.model.layer1.0.relu,
cvcl,vision_encoder.model.layer1.0.downsample,
cvcl,vision_encoder.model.layer1.0.downsample.0,
cvcl,vision_encoder.model.layer1.0.downsample.1,
cvcl,vision_encoder.model.layer1.1,
cvcl,vision_encoder.model.layer1.1.conv1,
cvcl,vision_encoder.model.layer1.1.bn1,
cvcl,vision_encoder.model.layer1.1.conv2,
cvcl,vision_encoder.model.layer1.1.bn2,
cvcl,vision_encoder.model.layer1.1.conv3,
cvcl,vision_encoder.model.layer1.1.bn3,
cvcl,vision_encoder.model.layer1.1.relu,
cvcl,vision_encoder.model.layer1.2,
cvcl,vision_encoder.model.layer1.2.conv1,
cvcl,vision_encoder.model.layer1.2.bn1,
cvcl,vision_encoder.model.layer1.2.conv2,
cvcl,vision_encoder.model.layer1.2.bn2,
cvcl,vision_encoder.model.layer1.2.conv3,
cvcl,vision_encoder.model.layer1.2.bn3,
cvcl,vision_encoder.model.layer1.2.relu,1
cvcl,vision_encoder.model.layer2,
cvcl,vision_encoder.model.layer2.0,
cvcl,vision_encoder.model.layer2.0.conv1,
cvcl,vision_encoder.model.layer2.0.bn1,
cvcl,vision_encoder.model.layer2.0.conv2,
cvcl,vision_encoder.model.layer2.0.bn2,
cvcl,vision_encoder.model.layer2.0.conv3,
cvcl,vision_encoder.model.layer2.0.bn3,
cvcl,vision_encoder.model.layer2.0.relu,
cvcl,vision_encoder.model.layer2.0.downsample,
cvcl,vision_encoder.model.layer2.0.downsample.0,
cvcl,vision_encoder.model.layer2.0.downsample.1,
cvcl,vision_encoder.model.layer2.1,
cvcl,vision_encoder.model.layer2.1.conv1,
cvcl,vision_encoder.model.layer2.1.bn1,
cvcl,vision_encoder.model.layer2.1.conv2,
cvcl,vision_encoder.model.layer2.1.bn2,
cvcl,vision_encoder.model.layer2.1.conv3,
cvcl,vision_encoder.model.layer2.1.bn3,
cvcl,vision_encoder.model.layer2.1.relu,
cvcl,vision_encoder.model.layer2.2,
cvcl,vision_encoder.model.layer2.2.conv1,
cvcl,vision_encoder.model.layer2.2.bn1,
cvcl,vision_encoder.model.layer2.2.conv2,
cvcl,vision_encoder.model.layer2.2.bn2,
cvcl,vision_encoder.model.layer2.2.conv3,
cvcl,vision_encoder.model.layer2.2.bn3,
cvcl,vision_encoder.model.layer2.2.relu,
cvcl,vision_encoder.model.layer2.3,
cvcl,vision_encoder.model.layer2.3.conv1,
cvcl,vision_encoder.model.layer2.3.bn1,
cvcl,vision_encoder.model.layer2.3.conv2,
cvcl,vision_encoder.model.layer2.3.bn2,
cvcl,vision_encoder.model.layer2.3.conv3,
cvcl,vision_encoder.model.layer2.3.bn3,
cvcl,vision_encoder.model.layer2.3.relu,1
cvcl,vision_encoder.model.layer3,
cvcl,vision_encoder.model.layer3.0,
cvcl,vision_encoder.model.layer3.0.conv1,
cvcl,vision_encoder.model.layer3.0.bn1,
cvcl,vision_encoder.model.layer3.0.conv2,
cvcl,vision_encoder.model.layer3.0.bn2,
cvcl,vision_encoder.model.layer3.0.conv3,
cvcl,vision_encoder.model.layer3.0.bn3,
cvcl,vision_encoder.model.layer3.0.relu,
cvcl,vision_encoder.model.layer3.0.downsample,
cvcl,vision_encoder.model.layer3.0.downsample.0,
cvcl,vision_encoder.model.layer3.0.downsample.1,
cvcl,vision_encoder.model.layer3.1,
cvcl,vision_encoder.model.layer3.1.conv1,
cvcl,vision_encoder.model.layer3.1.bn1,
cvcl,vision_encoder.model.layer3.1.conv2,
cvcl,vision_encoder.model.layer3.1.bn2,
cvcl,vision_encoder.model.layer3.1.conv3,
cvcl,vision_encoder.model.layer3.1.bn3,
cvcl,vision_encoder.model.layer3.1.relu,
cvcl,vision_encoder.model.layer3.2,
cvcl,vision_encoder.model.layer3.2.conv1,
cvcl,vision_encoder.model.layer3.2.bn1,
cvcl,vision_encoder.model.layer3.2.conv2,
cvcl,vision_encoder.model.layer3.2.bn2,
cvcl,vision_encoder.model.layer3.2.conv3,
cvcl,vision_encoder.model.layer3.2.bn3,
cvcl,vision_encoder.model.layer3.2.relu,
cvcl,vision_encoder.model.layer3.3,
cvcl,vision_encoder.model.layer3.3.conv1,
cvcl,vision_encoder.model.layer3.3.bn1,
cvcl,vision_encoder.model.layer3.3.conv2,
cvcl,vision_encoder.model.layer3.3.bn2,
cvcl,vision_encoder.model.layer3.3.conv3,
cvcl,vision_encoder.model.layer3.3.bn3,
cvcl,vision_encoder.model.layer3.3.relu,
cvcl,vision_encoder.model.layer3.4,
cvcl,vision_encoder.model.layer3.4.conv1,
cvcl,vision_encoder.model.layer3.4.bn1,
cvcl,vision_encoder.model.layer3.4.conv2,
cvcl,vision_encoder.model.layer3.4.bn2,
cvcl,vision_encoder.model.layer3.4.conv3,
