model,layer,classifier,train_ims,condition,animacy,obj1,obj2,acc
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,dog,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,duck,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,elephant,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,fish,0.375
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,foot,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,frog,0.45
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,hand,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,rabbit,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,squirrel,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,turtle,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,cat,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,cow,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,dog,0.45
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,duck,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,elephant,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,fish,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,foot,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,frog,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,hand,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,rabbit,0.425
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,squirrel,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,butterfly,turtle,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,cow,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,dog,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,duck,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,elephant,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,fish,0.45
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,foot,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,frog,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,hand,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,rabbit,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,squirrel,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,cat,turtle,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,dog,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,duck,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,elephant,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,fish,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,foot,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,frog,0.625
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,hand,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,rabbit,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,squirrel,0.575
vit,blocks.0.ls1,KNN,150,Pert,anim,cow,turtle,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,dog,duck,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,dog,elephant,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,dog,fish,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,dog,foot,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,dog,frog,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,dog,hand,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,dog,rabbit,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,dog,squirrel,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,dog,turtle,0.575
vit,blocks.0.ls1,KNN,150,Pert,anim,duck,elephant,0.45
vit,blocks.0.ls1,KNN,150,Pert,anim,duck,fish,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,duck,foot,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,duck,frog,0.45
vit,blocks.0.ls1,KNN,150,Pert,anim,duck,hand,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,duck,rabbit,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,duck,squirrel,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,duck,turtle,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,elephant,fish,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,elephant,foot,0.525
