model,obj1,obj2,condition,train_acc,acc
alexnet,spoon,key,IC,1.0,0.6333333333333333
alexnet,spoon,kite,IC,1.0,0.8333333333333334
alexnet,spoon,lamp,IC,1.0,0.5666666666666667
alexnet,spoon,leaf,IC,1.0,0.5
alexnet,spoon,tree,IC,1.0,0.6
alexnet,spoon,truck,IC,1.0,0.5
alexnet,spoon,umbrella,IC,1.0,0.5
alexnet,tree,airplane,IC,1.0,0.9333333333333333
alexnet,tree,apple,IC,1.0,0.5333333333333333
alexnet,tree,bike,IC,1.0,0.9
alexnet,tree,chair,IC,1.0,0.9666666666666667
alexnet,tree,flower,IC,1.0,0.5333333333333333
alexnet,tree,fork,IC,1.0,0.5333333333333333
alexnet,tree,guitar,IC,1.0,0.8
alexnet,tree,key,IC,1.0,0.5
alexnet,tree,kite,IC,1.0,0.6333333333333333
alexnet,tree,lamp,IC,1.0,0.6
alexnet,tree,leaf,IC,1.0,0.4666666666666667
alexnet,tree,spoon,IC,1.0,0.5333333333333333
alexnet,tree,truck,IC,1.0,0.8
alexnet,tree,umbrella,IC,1.0,0.5
alexnet,truck,airplane,IC,1.0,0.5
alexnet,truck,apple,IC,1.0,0.8666666666666667
alexnet,truck,bike,IC,1.0,0.5666666666666667
alexnet,truck,chair,IC,1.0,0.5333333333333333
alexnet,truck,flower,IC,1.0,0.8666666666666667
alexnet,truck,fork,IC,1.0,0.5
alexnet,truck,guitar,IC,1.0,0.5
alexnet,truck,key,IC,1.0,0.5
alexnet,truck,kite,IC,1.0,0.5
alexnet,truck,lamp,IC,1.0,0.5
alexnet,truck,leaf,IC,1.0,0.8
alexnet,truck,spoon,IC,1.0,0.5
alexnet,truck,tree,IC,1.0,0.6666666666666666
alexnet,truck,umbrella,IC,1.0,0.5
alexnet,umbrella,airplane,IC,1.0,0.8666666666666667
alexnet,umbrella,apple,IC,1.0,0.5
alexnet,umbrella,bike,IC,1.0,0.7666666666666667
alexnet,umbrella,chair,IC,1.0,0.7
alexnet,umbrella,flower,IC,1.0,0.5333333333333333
alexnet,umbrella,fork,IC,1.0,0.5
alexnet,umbrella,guitar,IC,1.0,0.6333333333333333
alexnet,umbrella,key,IC,1.0,0.5333333333333333
alexnet,umbrella,kite,IC,1.0,0.5333333333333333
alexnet,umbrella,lamp,IC,1.0,0.4666666666666667
alexnet,umbrella,leaf,IC,1.0,0.6
alexnet,umbrella,spoon,IC,1.0,0.5
alexnet,umbrella,tree,IC,1.0,0.6
alexnet,umbrella,truck,IC,1.0,0.5
alexnet,bear,bird,IC,1.0,0.5
alexnet,bear,butterfly,IC,1.0,0.7666666666666667
alexnet,bear,cat,IC,1.0,0.5
alexnet,bear,cow,IC,1.0,0.6
alexnet,bear,dog,IC,1.0,0.7
alexnet,bear,duck,IC,1.0,0.4666666666666667
alexnet,bear,elephant,IC,1.0,0.5666666666666667
alexnet,bear,fish,IC,1.0,0.5
alexnet,bear,foot,IC,1.0,0.5
alexnet,bear,frog,IC,1.0,0.5
alexnet,bear,hand,IC,1.0,0.5
alexnet,bear,rabbit,IC,1.0,0.5
alexnet,bear,squirrel,IC,1.0,0.5666666666666667
alexnet,bear,turtle,IC,1.0,0.5666666666666667
alexnet,bird,bear,IC,1.0,0.5
alexnet,bird,butterfly,IC,1.0,0.5
alexnet,bird,cat,IC,1.0,0.5
alexnet,bird,cow,IC,1.0,0.5333333333333333
alexnet,bird,dog,IC,1.0,0.5
alexnet,bird,duck,IC,1.0,0.5
alexnet,bird,elephant,IC,1.0,0.5
alexnet,bird,fish,IC,1.0,0.6
alexnet,bird,foot,IC,1.0,0.5
alexnet,bird,frog,IC,1.0,0.6333333333333333
alexnet,bird,hand,IC,1.0,0.7666666666666667
alexnet,bird,rabbit,IC,1.0,0.5
alexnet,bird,squirrel,IC,1.0,0.5
alexnet,bird,turtle,IC,1.0,0.5333333333333333
alexnet,butterfly,bear,IC,1.0,0.6
alexnet,butterfly,bird,IC,1.0,0.5
alexnet,butterfly,cat,IC,1.0,0.7
alexnet,butterfly,cow,IC,1.0,0.6333333333333333
alexnet,butterfly,dog,IC,1.0,0.5666666666666667
alexnet,butterfly,duck,IC,1.0,0.6333333333333333
alexnet,butterfly,elephant,IC,1.0,0.5333333333333333
alexnet,butterfly,fish,IC,1.0,0.5
alexnet,butterfly,foot,IC,1.0,0.6333333333333333
alexnet,butterfly,frog,IC,1.0,0.6333333333333333
alexnet,butterfly,hand,IC,1.0,0.5
alexnet,butterfly,rabbit,IC,1.0,0.6333333333333333
alexnet,butterfly,squirrel,IC,1.0,0.6
alexnet,butterfly,turtle,IC,1.0,0.5
alexnet,cat,bear,IC,1.0,0.5666666666666667
alexnet,cat,bird,IC,1.0,0.5
alexnet,cat,butterfly,IC,1.0,0.5666666666666667
alexnet,cat,cow,IC,1.0,0.5666666666666667
alexnet,cat,dog,IC,1.0,0.6333333333333333
alexnet,cat,duck,IC,1.0,0.2
alexnet,cat,elephant,IC,1.0,0.6
alexnet,cat,fish,IC,1.0,0.5
alexnet,cat,foot,IC,1.0,0.36666666666666664
alexnet,cat,frog,IC,1.0,0.5
alexnet,cat,hand,IC,1.0,0.5
alexnet,cat,rabbit,IC,1.0,0.36666666666666664
alexnet,cat,squirrel,IC,1.0,0.4666666666666667
alexnet,cat,turtle,IC,1.0,0.7333333333333333
alexnet,cow,bear,IC,1.0,0.6333333333333333
alexnet,cow,bird,IC,1.0,0.5666666666666667
alexnet,cow,butterfly,IC,1.0,0.6666666666666666
alexnet,cow,cat,IC,1.0,0.5
alexnet,cow,dog,IC,1.0,0.5666666666666667
alexnet,cow,duck,IC,1.0,0.6
alexnet,cow,elephant,IC,1.0,0.5666666666666667
alexnet,cow,fish,IC,1.0,0.5
alexnet,cow,foot,IC,1.0,0.7333333333333333
alexnet,cow,frog,IC,1.0,0.5666666666666667
alexnet,cow,hand,IC,1.0,0.5333333333333333
alexnet,cow,rabbit,IC,1.0,0.6
alexnet,cow,squirrel,IC,1.0,0.6
alexnet,cow,turtle,IC,1.0,0.7333333333333333
alexnet,dog,bear,IC,1.0,0.5666666666666667
alexnet,dog,bird,IC,1.0,0.5
alexnet,dog,butterfly,IC,1.0,0.6
alexnet,dog,cat,IC,1.0,0.5333333333333333
alexnet,dog,cow,IC,1.0,0.5
alexnet,dog,duck,IC,1.0,0.4666666666666667
alexnet,dog,elephant,IC,1.0,0.5
alexnet,dog,fish,IC,1.0,0.5
alexnet,dog,foot,IC,1.0,0.5
alexnet,dog,frog,IC,1.0,0.5666666666666667
alexnet,dog,hand,IC,1.0,0.5
alexnet,dog,rabbit,IC,1.0,0.6333333333333333
alexnet,dog,squirrel,IC,1.0,0.5333333333333333
alexnet,dog,turtle,IC,1.0,0.6666666666666666
alexnet,duck,bear,IC,1.0,0.5333333333333333
alexnet,duck,bird,IC,1.0,0.5
alexnet,duck,butterfly,IC,1.0,0.5333333333333333
alexnet,duck,cat,IC,1.0,0.3
alexnet,duck,cow,IC,1.0,0.5
alexnet,duck,dog,IC,1.0,0.5333333333333333
alexnet,duck,elephant,IC,1.0,0.4666666666666667
alexnet,duck,fish,IC,1.0,0.5
alexnet,duck,foot,IC,1.0,0.5
alexnet,duck,frog,IC,1.0,0.4666666666666667
alexnet,duck,hand,IC,1.0,0.5
alexnet,duck,rabbit,IC,1.0,0.5
alexnet,duck,squirrel,IC,1.0,0.43333333333333335
alexnet,duck,turtle,IC,1.0,0.5
alexnet,elephant,bear,IC,1.0,0.6666666666666666
alexnet,elephant,bird,IC,1.0,0.5
alexnet,elephant,butterfly,IC,1.0,0.6
alexnet,elephant,cat,IC,1.0,0.5333333333333333
alexnet,elephant,cow,IC,1.0,0.6
alexnet,elephant,dog,IC,1.0,0.5666666666666667
alexnet,elephant,duck,IC,1.0,0.4666666666666667
alexnet,elephant,fish,IC,1.0,0.5
alexnet,elephant,foot,IC,1.0,0.4666666666666667
alexnet,elephant,frog,IC,1.0,0.5333333333333333
alexnet,elephant,hand,IC,1.0,0.5
alexnet,elephant,rabbit,IC,1.0,0.43333333333333335
alexnet,elephant,squirrel,IC,1.0,0.4666666666666667
alexnet,elephant,turtle,IC,1.0,0.5666666666666667
alexnet,fish,bear,IC,1.0,0.5
alexnet,fish,bird,IC,1.0,0.5333333333333333
alexnet,fish,butterfly,IC,1.0,0.5
alexnet,fish,cat,IC,1.0,0.5
alexnet,fish,cow,IC,1.0,0.5
alexnet,fish,dog,IC,1.0,0.5
alexnet,fish,duck,IC,1.0,0.5
alexnet,fish,elephant,IC,1.0,0.5
alexnet,fish,foot,IC,1.0,0.5
alexnet,fish,frog,IC,1.0,0.43333333333333335
alexnet,fish,hand,IC,1.0,0.5333333333333333
alexnet,fish,rabbit,IC,1.0,0.5
alexnet,fish,squirrel,IC,1.0,0.5
alexnet,fish,turtle,IC,1.0,0.5
alexnet,foot,bear,IC,1.0,0.6666666666666666
alexnet,foot,bird,IC,1.0,0.5
alexnet,foot,butterfly,IC,1.0,0.5666666666666667
alexnet,foot,cat,IC,1.0,0.3
alexnet,foot,cow,IC,1.0,0.7333333333333333
alexnet,foot,dog,IC,1.0,0.5333333333333333
alexnet,foot,duck,IC,1.0,0.6
alexnet,foot,elephant,IC,1.0,0.5
alexnet,foot,fish,IC,1.0,0.5
alexnet,foot,frog,IC,1.0,0.5
alexnet,foot,hand,IC,1.0,0.4666666666666667
alexnet,foot,rabbit,IC,1.0,0.43333333333333335
alexnet,foot,squirrel,IC,1.0,0.3
alexnet,foot,turtle,IC,1.0,0.5333333333333333
alexnet,frog,bear,IC,1.0,0.5333333333333333
alexnet,frog,bird,IC,1.0,0.6
alexnet,frog,butterfly,IC,1.0,0.5
alexnet,frog,cat,IC,1.0,0.5
alexnet,frog,cow,IC,1.0,0.7
alexnet,frog,dog,IC,1.0,0.5666666666666667
alexnet,frog,duck,IC,1.0,0.5
alexnet,frog,elephant,IC,1.0,0.5666666666666667
alexnet,frog,fish,IC,1.0,0.4
alexnet,frog,foot,IC,1.0,0.5
alexnet,frog,hand,IC,1.0,0.6666666666666666
alexnet,frog,rabbit,IC,1.0,0.43333333333333335
alexnet,frog,squirrel,IC,1.0,0.5333333333333333
alexnet,frog,turtle,IC,1.0,0.4666666666666667
alexnet,hand,bear,IC,1.0,0.5
alexnet,hand,bird,IC,1.0,0.7
alexnet,hand,butterfly,IC,1.0,0.4666666666666667
alexnet,hand,cat,IC,1.0,0.5
alexnet,hand,cow,IC,1.0,0.5333333333333333
alexnet,hand,dog,IC,1.0,0.5
alexnet,hand,duck,IC,1.0,0.5
alexnet,hand,elephant,IC,1.0,0.5
alexnet,hand,fish,IC,1.0,0.5333333333333333
alexnet,hand,foot,IC,1.0,0.4666666666666667
alexnet,hand,frog,IC,1.0,0.6666666666666666
alexnet,hand,rabbit,IC,1.0,0.5
alexnet,hand,squirrel,IC,1.0,0.5
alexnet,hand,turtle,IC,1.0,0.5
alexnet,rabbit,bear,IC,1.0,0.5
alexnet,rabbit,bird,IC,1.0,0.5
alexnet,rabbit,butterfly,IC,1.0,0.5666666666666667
alexnet,rabbit,cat,IC,1.0,0.5
alexnet,rabbit,cow,IC,1.0,0.5333333333333333
alexnet,rabbit,dog,IC,1.0,0.5
alexnet,rabbit,duck,IC,1.0,0.5
alexnet,rabbit,elephant,IC,1.0,0.4666666666666667
alexnet,rabbit,fish,IC,1.0,0.5
alexnet,rabbit,foot,IC,1.0,0.43333333333333335
alexnet,rabbit,frog,IC,1.0,0.4666666666666667
alexnet,rabbit,hand,IC,1.0,0.5
alexnet,rabbit,squirrel,IC,1.0,0.4
alexnet,rabbit,turtle,IC,1.0,0.43333333333333335
alexnet,squirrel,bear,IC,1.0,0.6
alexnet,squirrel,bird,IC,1.0,0.5
alexnet,squirrel,butterfly,IC,1.0,0.7
alexnet,squirrel,cat,IC,1.0,0.4666666666666667
alexnet,squirrel,cow,IC,1.0,0.6
alexnet,squirrel,dog,IC,1.0,0.6333333333333333
alexnet,squirrel,duck,IC,1.0,0.43333333333333335
alexnet,squirrel,elephant,IC,1.0,0.4666666666666667
alexnet,squirrel,fish,IC,1.0,0.5
alexnet,squirrel,foot,IC,1.0,0.4
alexnet,squirrel,frog,IC,1.0,0.5
alexnet,squirrel,hand,IC,1.0,0.5
alexnet,squirrel,rabbit,IC,1.0,0.23333333333333334
alexnet,squirrel,turtle,IC,1.0,0.4666666666666667
alexnet,turtle,bear,IC,1.0,0.5
alexnet,turtle,bird,IC,1.0,0.5
alexnet,turtle,butterfly,IC,1.0,0.5
alexnet,turtle,cat,IC,1.0,0.7
alexnet,turtle,cow,IC,1.0,0.7666666666666667
alexnet,turtle,dog,IC,1.0,0.5333333333333333
alexnet,turtle,duck,IC,1.0,0.6
alexnet,turtle,elephant,IC,1.0,0.6333333333333333
alexnet,turtle,fish,IC,1.0,0.5
alexnet,turtle,foot,IC,1.0,0.6666666666666666
alexnet,turtle,frog,IC,1.0,0.5
alexnet,turtle,hand,IC,1.0,0.5
alexnet,turtle,rabbit,IC,1.0,0.43333333333333335
alexnet,turtle,squirrel,IC,1.0,0.43333333333333335
