sub,age,age_group,cond,fast_high_curv,fast_low_curv,intro_high_curv,intro_low_curv,slow_high_curv,slow_low_curv,high_curv,low_curv,fast_high_conv_hull,fast_low_conv_hull,intro_high_conv_hull,intro_low_conv_hull,slow_high_conv_hull,slow_low_conv_hull,high_conv_hull,low_conv_hull,fast_high_axis_ratio,fast_low_axis_ratio,intro_high_axis_ratio,intro_low_axis_ratio,slow_high_axis_ratio,slow_low_axis_ratio,high_axis_ratio,low_axis_ratio
6011,5.38,5yrold,perturbed,0.8,1.0,,,1.0,0.6666666666666666,0.8571428571428571,0.75,0.5,1.0,,,0.6666666666666666,1.0,0.6,1.0,0.75,1.0,,,0.6666666666666666,1.0,0.7142857142857143,1.0
6012,5.57,5yrold,deleted,,,0.5,0.3333333333333333,0.5,0.5,0.5,0.42857142857142855,,,0.6666666666666666,0.25,0.3333333333333333,0.6666666666666666,0.5,0.42857142857142855,,,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.5
6013,5.79,5yrold,complete,1.0,1.0,1.0,,0.75,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,,0.75,1.0,0.9,1.0,1.0,1.0,,1.0,1.0,0.75,1.0,0.8888888888888888
6014,5.47,5yrold,perturbed,1.0,0.8333333333333334,,1.0,,1.0,1.0,0.8888888888888888,1.0,0.75,,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,,1.0,1.0,1.0,0.8571428571428571
6015,4.48,4yrold,complete,0.6,1.0,1.0,,,,0.6666666666666666,1.0,0.8,0.8,1.0,,,,0.8333333333333334,0.8,0.8333333333333334,0.75,1.0,,,,0.8571428571428571,0.75
6016,4.19,4yrold,perturbed,0.8888888888888888,1.0,1.0,,,,0.9090909090909091,1.0,0.8,1.0,1.0,1.0,,,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,1.0,,,0.8571428571428571,1.0
6017,4.8,4yrold,deleted,0.8,0.0,0.0,1.0,1.0,1.0,0.7142857142857143,0.6,0.8,0.0,0.0,1.0,1.0,,0.7777777777777778,0.3333333333333333,1.0,0.4,0.0,1.0,1.0,1.0,0.8,0.5714285714285714
6020,4.76,4yrold,deleted,0.75,1.0,,,1.0,,0.8,1.0,1.0,0.75,,,1.0,,1.0,0.75,0.75,1.0,,,1.0,,0.8,1.0
6021,4.57,4yrold,complete,0.6666666666666666,1.0,1.0,,1.0,,0.8333333333333334,1.0,1.0,0.8,,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.8333333333333334,,1.0,1.0,,1.0,0.8571428571428571
6022,4.73,4yrold,perturbed,,1.0,,1.0,0.75,0.5,0.75,0.7142857142857143,1.0,1.0,1.0,,1.0,0.25,1.0,0.4,1.0,1.0,,1.0,1.0,0.4,1.0,0.5714285714285714
6023,4.89,4yrold,deleted,0.6,1.0,0.0,1.0,1.0,,0.625,1.0,0.75,1.0,0.0,1.0,1.0,,0.7272727272727273,1.0,0.6,1.0,0.0,1.0,1.0,,0.625,1.0
6024,4.39,4yrold,complete,0.6666666666666666,0.5,1.0,,,1.0,0.75,0.6,0.75,0.42857142857142855,1.0,,1.0,1.0,0.8333333333333334,0.5,0.4,0.6666666666666666,1.0,,1.0,1.0,0.5714285714285714,0.7142857142857143
6025,4.54,4yrold,perturbed,1.0,1.0,,,0.3333333333333333,1.0,0.75,1.0,1.0,1.0,,,0.5,1.0,0.75,1.0,1.0,1.0,,,0.5,1.0,0.7142857142857143,1.0
6026,4.92,4yrold,deleted,0.5,0.6666666666666666,0.0,1.0,,,0.3333333333333333,0.8,0.6666666666666666,0.5,0.0,0.6666666666666666,,,0.5,0.5714285714285714,0.5,0.6,,0.5,,,0.5,0.5555555555555556
6027,4.12,4yrold,complete,0.5,0.0,0.0,1.0,1.0,0.0,0.6,0.16666666666666666,0.5,0.0,0.5,,,0.5,0.5,0.2857142857142857,0.25,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4
6028,4.52,4yrold,perturbed,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0
6029,4.36,4yrold,deleted,,0.75,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.4444444444444444,0.5,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5,0.5,1.0,0.0,0.3333333333333333,0.5,0.0,0.4,0.42857142857142855
6030,3.96,3yrold,complete,0.4,0.3333333333333333,,1.0,0.5,1.0,0.42857142857142855,0.6666666666666666,0.4,0.3333333333333333,1.0,,0.6666666666666666,1.0,0.5555555555555556,0.5,0.16666666666666666,1.0,,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0
6031,3.73,3yrold,perturbed,1.0,0.5,1.0,0.0,0.3333333333333333,1.0,0.6,0.3333333333333333,0.0,1.0,0.0,0.5,0.5,0.5,0.2,0.6666666666666666,1.0,0.5,1.0,0.0,0.5,0.5,0.75,0.2857142857142857
6033,3.41,3yrold,complete,0.8,1.0,,1.0,1.0,1.0,0.8571428571428571,1.0,0.6666666666666666,1.0,,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,,1.0,1.0,0.8571428571428571,1.0
6035,3.79,3yrold,deleted,,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.6,,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,,0.5,1.0,1.0,0.6666666666666666,0.8,0.75
6036,3.05,3yrold,complete,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.7,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,0.75,0.875,0.75,0.6,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
6037,3.06,3yrold,perturbed,,,1.0,0.5,,,1.0,0.5,,,1.0,0.5,,,1.0,0.5,,,1.0,0.6666666666666666,,,1.0,0.6666666666666666
6038,3.36,3yrold,deleted,,,0.6666666666666666,,,,0.6666666666666666,,,,1.0,0.5,,,1.0,0.5,,,1.0,0.0,,,1.0,0.0
6039,3.95,3yrold,complete,1.0,0.6666666666666666,,1.0,0.0,1.0,0.75,0.8571428571428571,0.75,1.0,1.0,,1.0,0.5,0.8571428571428571,0.75,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
6040,3.53,3yrold,perturbed,,,0.5,1.0,,0.5,0.5,0.6666666666666666,,,0.0,1.0,,0.5,0.0,0.75,,,,0.6666666666666666,1.0,0.0,1.0,0.5
6041,3.62,3yrold,deleted,0.8,0.4,,1.0,1.0,0.75,0.8333333333333334,0.6,0.3333333333333333,0.7142857142857143,1.0,,0.6666666666666666,1.0,0.5714285714285714,0.7777777777777778,0.5,0.6666666666666666,,1.0,0.75,1.0,0.625,0.75
6042,3.85,3yrold,complete,0.75,1.0,,0.5,1.0,,0.8333333333333334,0.8333333333333334,1.0,0.75,0.0,1.0,1.0,,0.8571428571428571,0.8,0.8,1.0,0.5,,1.0,,0.7777777777777778,1.0
6043,4.25,4yrold,perturbed,1.0,0.5,0.75,,1.0,,0.9,0.5,1.0,0.6,0.0,1.0,1.0,1.0,0.75,0.8,1.0,0.5,0.5,1.0,1.0,1.0,0.8571428571428571,0.7142857142857143
6044,3.83,3yrold,deleted,,,0.0,0.5,,,0.0,0.5,,,0.0,0.3333333333333333,,,0.0,0.3333333333333333,,,0.4,0.0,,,0.4,0.0
6045,5.52,5yrold,deleted,0.0,,0.25,,1.0,1.0,0.3333333333333333,1.0,,0.0,0.3333333333333333,0.0,1.0,1.0,0.5,0.5,,0.0,0.3333333333333333,0.0,1.0,1.0,0.5,0.5
6046,5.02,5yrold,complete,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
6047,5.74,5yrold,perturbed,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0
6048,5.01,5yrold,deleted,1.0,0.5,1.0,,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,1.0,1.0,0.8333333333333334,1.0
6049,5.72,5yrold,complete,0.75,1.0,1.0,,1.0,,0.8333333333333334,1.0,0.8,1.0,1.0,,1.0,,0.8571428571428571,1.0,0.8,1.0,1.0,,1.0,,0.8571428571428571,1.0
6050,5.9,5yrold,perturbed,0.6,0.8333333333333334,1.0,,,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8333333333333334,0.6,,1.0,1.0,0.5,0.8571428571428571,0.625,0.5714285714285714,1.0,,1.0,,0.6666666666666666,0.5714285714285714,0.875
6051,5.2,5yrold,deleted,1.0,1.0,0.5,1.0,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,1.0,0.75,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.75,0.875
6052,5.16,5yrold,complete,0.8333333333333334,1.0,1.0,,1.0,1.0,0.8888888888888888,1.0,0.6666666666666666,1.0,1.0,,1.0,1.0,0.8571428571428571,1.0,0.75,1.0,1.0,,1.0,1.0,0.8333333333333334,1.0
6053,5.95,5yrold,perturbed,0.5,1.0,1.0,,1.0,0.4,0.8571428571428571,0.5714285714285714,0.6666666666666666,1.0,1.0,,0.5,0.8,0.625,0.8333333333333334,0.6666666666666666,1.0,1.0,,1.0,0.5,0.8571428571428571,0.5714285714285714
6054,5.66,5yrold,deleted,1.0,0.8333333333333334,,,0.75,1.0,0.8571428571428571,0.8571428571428571,1.0,0.8333333333333334,,,0.5,1.0,0.8,0.8888888888888888,1.0,0.8333333333333334,,,0.6666666666666666,1.0,0.8333333333333334,0.875
6055,5.87,5yrold,complete,0.8,1.0,,,1.0,1.0,0.8333333333333334,1.0,1.0,0.75,,,1.0,1.0,1.0,0.8333333333333334,0.8,1.0,,,1.0,1.0,0.8333333333333334,1.0
6056,5.72,5yrold,perturbed,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
6057,5.57,5yrold,deleted,0.75,0.5,,,1.0,1.0,0.8571428571428571,0.75,1.0,0.5,,,1.0,1.0,1.0,0.6666666666666666,0.75,0.5,,,1.0,1.0,0.8333333333333334,0.8
6058,5.38,5yrold,complete,1.0,0.8,,,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,,,1.0,1.0,0.8571428571428571,1.0,1.0,0.8333333333333334,,,1.0,1.0,1.0,0.8571428571428571
6059,5.77,5yrold,perturbed,1.0,1.0,0.5,1.0,0.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.875,0.8,1.0,1.0,1.0,0.5,0.5,1.0,0.8571428571428571,0.8333333333333334
6060,4.54,4yrold,complete,1.0,0.8333333333333334,,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8,,1.0,1.0,,1.0,0.8333333333333334,1.0,0.875,1.0,,1.0,1.0,1.0,0.8888888888888888
6061,4.52,4yrold,perturbed,0.6666666666666666,1.0,,,1.0,1.0,0.75,1.0,1.0,0.75,,,1.0,1.0,1.0,0.8333333333333334,0.8,,,,1.0,1.0,0.8333333333333334,1.0
6062,4.8,4yrold,deleted,0.6666666666666666,1.0,1.0,,1.0,0.3333333333333333,0.8333333333333334,0.6666666666666666,1.0,0.75,,1.0,0.5,0.6666666666666666,0.75,0.75,0.6666666666666666,1.0,1.0,,0.3333333333333333,1.0,0.5714285714285714,1.0
6063,4.99,4yrold,complete,1.0,1.0,,,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,,,0.5,0.5,0.75,0.8571428571428571,1.0,1.0,,,0.0,0.6666666666666666,0.8,0.8333333333333334
6064,4.61,4yrold,perturbed,1.0,0.42857142857142855,1.0,,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,1.0,,1.0,1.0,0.7777777777777778,0.6,0.5,0.6666666666666666,,1.0,1.0,1.0,0.6666666666666666,0.75
6065,4.84,4yrold,deleted,,1.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,,1.0,0.0,0.0,1.0,0.5,0.5,,1.0,0.5,0.0,0.0,1.0,0.25,0.75
6066,4.33,4yrold,complete,0.0,0.6,,,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,,,0.75,,0.7142857142857143,0.3333333333333333,0.0,0.6,,,1.0,0.5,0.6666666666666666,0.5714285714285714
6067,4.83,4yrold,perturbed,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.875,0.8571428571428571,1.0,1.0,,1.0,1.0,0.9,1.0,1.0,0.5,1.0,1.0,1.0,,1.0,0.6666666666666666
6068,4.3,4yrold,deleted,0.4,0.6,1.0,0.0,,1.0,0.5,0.6666666666666666,0.5,0.5,0.5,,1.0,1.0,0.625,0.5714285714285714,0.5,0.5,1.0,0.0,,1.0,0.6,0.6
6069,4.5,4yrold,complete,0.6666666666666666,1.0,1.0,,1.0,1.0,0.8,1.0,0.8,0.6666666666666666,,1.0,1.0,1.0,0.875,0.8333333333333334,0.7142857142857143,1.0,,1.0,1.0,1.0,0.75,1.0
6070,4.69,4yrold,perturbed,0.5,1.0,,1.0,0.8333333333333334,,0.7,1.0,0.5,1.0,,1.0,1.0,0.0,0.7777777777777778,0.75,0.5,1.0,,1.0,1.0,0.0,0.7777777777777778,0.75
6071,4.51,4yrold,deleted,0.0,0.8571428571428571,,,0.5,,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.8,,,0.0,1.0,0.5,0.8333333333333334,0.5,0.8333333333333334,,,,0.5,0.5,0.75
6072,4.58,4yrold,complete,0.75,0.6,,,1.0,,0.8333333333333334,0.6,0.0,0.75,,,1.0,,0.6666666666666666,0.75,0.5,0.7142857142857143,,,1.0,,0.75,0.7142857142857143
6073,4.96,4yrold,perturbed,0.5,0.3333333333333333,,1.0,,,0.5,0.5,0.2,0.75,1.0,,,,0.3333333333333333,0.75,0.3333333333333333,0.5,1.0,,,,0.5,0.5
6074,4.14,4yrold,deleted,0.5,0.5,1.0,,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,,,0.75,1.0,0.5,0.3333333333333333,1.0,1.0,,0.5,1.0,0.5,1.0
6075,3.64,3yrold,complete,0.6666666666666666,1.0,1.0,,,0.75,0.7142857142857143,0.8333333333333334,1.0,0.6,1.0,,0.6666666666666666,1.0,0.8571428571428571,0.6666666666666666,0.8333333333333334,0.5,,1.0,1.0,0.5,0.875,0.6
6078,3.85,3yrold,complete,1.0,1.0,,,0.0,0.6666666666666666,0.8,0.8,1.0,1.0,,,0.0,0.6666666666666666,0.75,0.8333333333333334,1.0,1.0,,,1.0,0.3333333333333333,1.0,0.6666666666666666
6079,3.85,3yrold,perturbed,,,1.0,0.5,0.5,1.0,0.6666666666666666,0.75,,,1.0,0.5,0.8,0.0,0.8571428571428571,0.3333333333333333,,,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,1.0
6080,3.88,3yrold,deleted,,,,1.0,0.75,0.6,0.75,0.6666666666666666,,,1.0,,0.3333333333333333,0.8333333333333334,0.5,0.8333333333333334,,,,1.0,0.75,0.6,0.75,0.6666666666666666
6081,3.46,3yrold,complete,1.0,0.5,,1.0,1.0,,1.0,0.6,0.75,0.0,,1.0,1.0,,0.8,0.5,0.5,0.6666666666666666,,1.0,,1.0,0.5,0.8
6082,3.72,3yrold,perturbed,1.0,1.0,,1.0,,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,,,0.0,1.0,0.6666666666666666,1.0,1.0,,1.0,0.0,,0.75,1.0
6083,3.99,3yrold,deleted,,,1.0,1.0,0.5,0.75,0.5714285714285714,0.8,,,1.0,,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.0,1.0,0.6,0.6,0.6666666666666666,0.6666666666666666
6084,3.37,3yrold,complete,,,0.0,0.0,0.6,0.2,0.5,0.16666666666666666,,,0.0,0.0,0.0,0.8,0.0,0.6666666666666666,,,0.0,0.0,0.3333333333333333,0.5,0.2857142857142857,0.4
6085,3.99,3yrold,perturbed,0.5,0.6,,1.0,1.0,1.0,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.5,,1.0,1.0,1.0,0.75,0.6666666666666666,0.0,1.0,,1.0,1.0,1.0,0.25,1.0
6086,3.77,3yrold,deleted,,,0.75,0.0,0.0,1.0,0.6,0.16666666666666666,,,0.5,0.2,,0.5,0.5,0.2857142857142857,,,0.4,0.25,,0.5,0.4,0.3333333333333333
6088,3.28,3yrold,perturbed,1.0,1.0,0.0,,0.6666666666666666,0.0,0.7142857142857143,0.6666666666666666,1.0,1.0,0.0,,1.0,0.3333333333333333,0.8,0.6,1.0,1.0,0.0,,0.5,0.5,0.6666666666666666,0.75
6089,3.06,3yrold,deleted,,,,,0.25,0.75,0.25,0.75,,,,,0.75,0.25,0.75,0.25,,,,,0.3333333333333333,0.6,0.3333333333333333,0.6
6090,5.91,5yrold,deleted,,,,1.0,0.75,0.5,0.75,0.6,,,1.0,,0.6666666666666666,0.5,0.7142857142857143,0.5,,,,1.0,0.75,0.5,0.75,0.6
6091,5.54,5yrold,complete,0.8333333333333334,1.0,1.0,,,1.0,0.8571428571428571,1.0,1.0,0.8333333333333334,1.0,,,1.0,1.0,0.8571428571428571,0.8,1.0,1.0,,1.0,,0.8571428571428571,1.0
6092,5.54,5yrold,perturbed,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
6093,5.56,5yrold,deleted,0.3333333333333333,0.6666666666666666,,,0.25,1.0,0.2857142857142857,0.75,0.3333333333333333,0.6666666666666666,,,0.0,0.5,0.25,0.5714285714285714,0.5,0.5,,,0.3333333333333333,0.5,0.42857142857142855,0.5
6094,5.15,5yrold,complete,1.0,0.8,,,1.0,1.0,1.0,0.875,0.6666666666666666,1.0,,,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,,,1.0,1.0,0.8,1.0
6095,5.15,5yrold,perturbed,0.3333333333333333,1.0,1.0,,1.0,1.0,0.6666666666666666,1.0,,0.6666666666666666,,1.0,1.0,1.0,1.0,0.75,0.75,0.5,1.0,,1.0,1.0,0.8333333333333334,0.75
6097,5.63,5yrold,complete,0.6666666666666666,1.0,1.0,,,1.0,0.75,1.0,0.6666666666666666,1.0,,1.0,1.0,1.0,0.75,1.0,0.8,1.0,,1.0,1.0,,0.8571428571428571,1.0
6098,5.52,5yrold,perturbed,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
6099,5.38,5yrold,deleted,0.5,1.0,,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,,1.0,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,1.0,,1.0,1.0,0.8,0.8
6100,5.54,5yrold,complete,0.6666666666666666,1.0,,,1.0,1.0,0.8,1.0,0.75,1.0,,,1.0,1.0,0.8,1.0,0.8,1.0,,,1.0,1.0,0.8571428571428571,1.0
6101,5.05,5yrold,perturbed,0.0,1.0,,,1.0,0.5,0.25,0.8,0.5,0.5,,,1.0,0.5,0.6666666666666666,0.5,0.0,0.75,,,,0.6666666666666666,0.0,0.7142857142857143
6102,5.6,5yrold,deleted,0.75,0.3333333333333333,1.0,,,1.0,0.7777777777777778,0.5,0.5,0.8,1.0,,1.0,,0.625,0.8,0.5,0.7142857142857143,1.0,,1.0,,0.6666666666666666,0.7142857142857143
6103,5.52,5yrold,complete,1.0,0.6666666666666666,,,,1.0,1.0,0.75,1.0,0.75,,,1.0,,1.0,0.75,1.0,0.8,,,,1.0,1.0,0.8333333333333334
6104,5.71,5yrold,perturbed,0.75,1.0,,0.5,,,0.75,0.6666666666666666,1.0,0.75,0.0,0.6666666666666666,,,0.6666666666666666,0.7142857142857143,0.6666666666666666,1.0,1.0,0.3333333333333333,,,0.75,0.6666666666666666
6105,4.53,4yrold,complete,1.0,1.0,1.0,,1.0,0.0,1.0,0.8571428571428571,1.0,1.0,1.0,,0.6666666666666666,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,,1.0,0.6666666666666666,1.0,0.9
6106,4.64,4yrold,perturbed,1.0,0.5,,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.6666666666666666,1.0,,1.0,1.0,1.0,0.7142857142857143,0.75,1.0,,1.0,1.0,1.0,0.7777777777777778,1.0
6107,4.9,4yrold,deleted,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8,1.0,1.0,0.5,1.0,0.5,1.0,0.7142857142857143,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.8333333333333334,0.8
6108,4.87,4yrold,complete,,,0.6666666666666666,1.0,0.5,1.0,0.6,1.0,,,0.5,1.0,0.5,1.0,0.5,1.0,,,1.0,0.5,0.5,1.0,0.8,0.6666666666666666
6109,4.68,4yrold,perturbed,1.0,1.0,0.5,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8,1.0
6110,4.12,4yrold,deleted,1.0,1.0,,1.0,0.8,,0.8571428571428571,1.0,1.0,1.0,,1.0,0.8,,0.8333333333333334,1.0,1.0,1.0,,1.0,0.75,1.0,0.8333333333333334,1.0
6112,4.44,4yrold,perturbed,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.75,1.0,,1.0,1.0,1.0,0.8,1.0,0.5,1.0,,1.0,1.0,1.0,0.6666666666666666
6113,4.87,4yrold,deleted,,,0.6666666666666666,1.0,0.5,0.75,0.6,0.8333333333333334,,,0.5,1.0,0.5,0.75,0.5,0.8571428571428571,,,1.0,0.6666666666666666,0.5,0.75,0.75,0.7142857142857143
6114,4.21,4yrold,complete,0.75,0.5,,,1.0,1.0,0.8,0.625,0.5,0.6666666666666666,,,,1.0,0.5,0.7777777777777778,0.3333333333333333,0.7142857142857143,,,1.0,1.0,0.5,0.7777777777777778
6115,4.01,4yrold,perturbed,,,0.5,,0.3333333333333333,0.5,0.4,0.5,,,0.5,,0.3333333333333333,0.5,0.4,0.5,,,0.0,1.0,0.3333333333333333,0.5,0.25,0.6
6116,4.23,4yrold,deleted,1.0,0.0,,1.0,0.75,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.6666666666666666,1.0,,1.0,1.0,0.25,0.7777777777777778,0.5,0.75,0.6666666666666666,,1.0,0.4,1.0,0.5555555555555556,0.8333333333333334
6117,4.41,4yrold,complete,,,0.75,0.5,0.0,1.0,0.6,0.8,,,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,,,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.75,0.6666666666666666
6118,4.38,4yrold,perturbed,0.6666666666666666,0.5,,0.0,1.0,1.0,0.75,0.6,0.6666666666666666,0.5,,0.0,1.0,1.0,0.8,0.5555555555555556,0.75,0.4,,0.0,1.0,1.0,0.8,0.5555555555555556
6119,3.95,3yrold,deleted,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.8333333333333334,1.0,0.8,0.0,1.0,1.0,0.0,0.8,0.7142857142857143,1.0,0.75,0.5,,0.6666666666666666,1.0,0.7142857142857143,0.8
6120,3.11,3yrold,complete,,,0.0,1.0,0.6666666666666666,1.0,0.2857142857142857,1.0,,,0.0,0.75,1.0,0.6666666666666666,0.5,0.7142857142857143,,,0.3333333333333333,0.5,1.0,0.8,0.5,0.6666666666666666
6121,3.58,3yrold,perturbed,1.0,0.6,1.0,0.5,,1.0,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,0.5,,1.0,0.8571428571428571,0.7142857142857143,1.0,0.6666666666666666,1.0,0.5,1.0,,1.0,0.625
6124,3.83,3yrold,perturbed,1.0,0.75,,1.0,1.0,0.6666666666666666,1.0,0.75,0.6666666666666666,1.0,,1.0,1.0,0.5,0.8333333333333334,0.8,,0.8,,1.0,1.0,0.5,1.0,0.75
6126,5.94,5yrold,complete,0.25,0.5,,,0.0,0.6666666666666666,0.2,0.6,0.0,0.6666666666666666,,,0.0,1.0,0.0,0.8,0.25,0.5,,,1.0,0.3333333333333333,0.4,0.4
6128,3.13,3yrold,deleted,1.0,1.0,0.6666666666666666,0.5,1.0,0.5,0.8571428571428571,0.5714285714285714,1.0,1.0,0.3333333333333333,0.75,1.0,0.5,0.6666666666666666,0.75,1.0,1.0,0.3333333333333333,0.75,1.0,0.5,0.7142857142857143,0.7142857142857143
