sub,age,age_group,cond,curv_100.0_high,curv_100.0_low,curv_150.0_high,curv_150.0_low,curv_200.0_high,curv_200.0_low,curv_250.0_high,curv_250.0_low,curv_300.0_high,curv_300.0_low,axis_100.0_high,axis_100.0_low,axis_150.0_high,axis_150.0_low,axis_200.0_high,axis_200.0_low,axis_250.0_high,axis_250.0_low,axis_300.0_high,axis_300.0_low
6052,5.16,5yrold,complete,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.5,,1.0,1.0,,1.0,1.0,
6053,5.95,5yrold,perturbed,,1.0,0.5,1.0,1.0,0.0,,0.6666666666666666,1.0,,1.0,,0.5,1.0,1.0,0.3333333333333333,,0.6666666666666666,1.0,
6054,5.66,5yrold,deleted,1.0,1.0,1.0,0.5,1.0,,0.6666666666666666,1.0,,,1.0,1.0,1.0,0.5,,1.0,0.6666666666666666,1.0,,
6055,5.87,5yrold,complete,1.0,1.0,0.6666666666666666,,1.0,1.0,,1.0,,,1.0,1.0,0.5,1.0,1.0,1.0,,1.0,,
6056,5.72,5yrold,perturbed,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,
6057,5.57,5yrold,deleted,,,0.75,0.5,1.0,,1.0,1.0,,,,,0.75,0.5,1.0,1.0,1.0,1.0,,
6058,5.38,5yrold,complete,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.6666666666666666,1.0,,1.0,1.0,,
6059,5.77,5yrold,perturbed,1.0,1.0,1.0,,0.0,1.0,,1.0,0.5,1.0,1.0,1.0,1.0,,0.5,1.0,,1.0,1.0,0.5
6060,4.54,4yrold,complete,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,,1.0,
6061,4.52,4yrold,perturbed,1.0,1.0,0.5,1.0,1.0,1.0,,,,,1.0,,0.6666666666666666,,1.0,1.0,,,,
6062,4.8,4yrold,deleted,1.0,1.0,0.5,1.0,,0.3333333333333333,1.0,,1.0,,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,
6063,4.99,4yrold,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,
6064,4.61,4yrold,perturbed,1.0,0.5,,0.3333333333333333,1.0,1.0,1.0,,1.0,,0.5,0.8,0.5,0.0,1.0,1.0,1.0,,,1.0
6065,4.84,4yrold,deleted,,,,1.0,,1.0,0.5,0.0,0.5,0.0,,,,1.0,,1.0,0.0,1.0,0.5,0.0
6066,4.33,4yrold,complete,0.0,0.6,,,,,0.6666666666666666,1.0,,,0.0,0.6,,,,,1.0,0.5,,
6067,4.83,4yrold,perturbed,1.0,0.8,,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0,,1.0,1.0,,,,1.0,1.0
6068,4.3,4yrold,deleted,0.0,1.0,0.6666666666666666,0.3333333333333333,,1.0,,1.0,1.0,0.0,,0.5,0.5,0.5,,1.0,,1.0,1.0,0.0
6069,4.5,4yrold,complete,0.6666666666666666,1.0,,1.0,1.0,,1.0,1.0,1.0,,0.6666666666666666,1.0,1.0,,,1.0,1.0,1.0,,1.0
6070,4.69,4yrold,perturbed,0.6666666666666666,1.0,0.0,,1.0,,0.75,,,1.0,0.6666666666666666,1.0,0.0,,1.0,,1.0,0.0,,1.0
6071,4.51,4yrold,deleted,,0.6666666666666666,0.0,1.0,0.0,,1.0,,,,0.0,1.0,1.0,0.75,,0.0,,1.0,,
6072,4.58,4yrold,complete,0.75,0.5,,1.0,1.0,,1.0,,,,0.0,0.7142857142857143,1.0,,1.0,,1.0,,,
6073,4.96,4yrold,perturbed,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,,,1.0,0.0,0.4,0.5,1.0,,,,,1.0,
6074,4.14,4yrold,deleted,0.5,,,0.5,0.6666666666666666,1.0,,,1.0,,0.0,1.0,0.5,,0.5,1.0,,,1.0,
