model,layer,corr,acc
convnext,features.5.10.block.6,0.010545181457379245,0.5070238095238095
convnext,features.5.11.block.6,-0.005440982779868317,0.5207142857142858
convnext,features.5.12.block.6,0.09225738064707231,0.5078571428571429
convnext,features.5.13.block.6,0.004605865781701186,0.5108333333333334
convnext,features.5.14.block.6,-0.1346157391803874,0.5066666666666667
convnext,features.5.15.block.6,-0.021760605957938144,0.5095238095238095
convnext,features.5.16.block.6,0.024573270704451214,0.5086904761904762
convnext,features.5.17.block.6,-0.03558462440310365,0.5077380952380952
convnext,features.5.18.block.6,0.013969904628462511,0.5029761904761906
convnext,features.5.19.block.6,-0.02716093230151053,0.5057142857142858
convnext,features.5.20.block.6,0.04974267507150202,0.5110714285714286
convnext,features.5.21.block.6,-0.037682533733649534,0.5014285714285713
convnext,features.5.22.block.6,0.0847304669797738,0.5066666666666666
convnext,features.5.23.block.6,-0.10613560120086132,0.5088095238095238
convnext,features.5.24.block.6,0.06843717759277866,0.5175
convnext,features.5.25.block.6,0.03831846429968949,0.5154761904761904
convnext,features.5.26.block.6,0.05084448888642392,0.5169047619047619
convnext,features.7.0.block.6,-0.00200808468884458,0.5167857142857143
convnext,features.7.1.block.6,-0.027321430405273246,0.5151190476190477
convnext,features.7.2.block.6,-0.06445960116994165,0.513452380952381
convnext,top,0.07345673641152872,0.6057142857142858
vit,blocks.0.ls2,0.033910094294640744,0.5033333333333334
vit,blocks.1.ls2,0.00640838915544285,0.5030952380952382
vit,blocks.2.ls2,-0.02884389221315447,0.4986904761904762
vit,blocks.3.ls2,0.007415075063208286,0.5052380952380953
vit,blocks.4.ls2,-0.07239476689423183,0.5078571428571429
vit,blocks.5.ls2,-0.013447618694922283,0.5125
vit,blocks.6.ls2,-0.1258210124067587,0.5261904761904762
vit,blocks.7.ls2,-0.00963550510214789,0.5447619047619048
vit,blocks.8.ls2,-0.10237963861365948,0.5367857142857143
vit,blocks.9.ls2,-0.04339454181676659,0.5314285714285714
vit,blocks.10.ls2,0.0007433970188293064,0.5207142857142857
vit,blocks.11.ls2,-0.005053111070071163,0.525952380952381
vit,top,0.04481784007275829,0.5844642857142857
vit_dinov2,blocks.0.ls1,-0.07904589994125488,0.5051190476190476
vit_dinov2,blocks.0.ls2,0.021589234124650716,0.4994047619047619
vit_dinov2,blocks.1.ls1,-0.0023507189743471055,0.500357142857143
vit_dinov2,blocks.1.ls2,0.05949824415081807,0.5034523809523809
vit_dinov2,blocks.2.ls2,-0.03457788045941276,0.5042857142857143
vit_dinov2,blocks.3.ls2,0.017123780932240696,0.5079761904761906
vit_dinov2,blocks.4.ls2,0.003178942185550325,0.5103571428571428
vit_dinov2,blocks.5.ls2,-0.08746926147033088,0.5216666666666666
vit_dinov2,blocks.6.ls2,-0.00942830045423437,0.5242857142857142
vit_dinov2,blocks.7.ls2,0.006444710807049089,0.5420238095238095
vit_dinov2,blocks.8.ls2,-0.039234718204560266,0.5486904761904762
vit_dinov2,blocks.9.ls2,-0.16237190029020923,0.5802380952380953
vit_dinov2,blocks.10.ls2,0.0817625438163538,0.5652380952380952
vit_dinov2,blocks.11.ls2,-0.03707471639541402,0.6117857142857143
vit_dinov2,top,-0.025884126012825304,0.8940476190476191
clip_vit,visual.transformer.resblocks.0.ln_2,-0.042293325994212386,0.5016666666666666
clip_vit,visual.transformer.resblocks.1.ln_2,-0.04194239901850478,0.5032142857142857
clip_vit,visual.transformer.resblocks.2.ln_2,-0.027117776286895306,0.5059523809523809
clip_vit,visual.transformer.resblocks.3.ln_2,0.03131929181817315,0.5061904761904762
clip_vit,visual.transformer.resblocks.4.ln_2,-0.062874758879462,0.5127380952380952
clip_vit,visual.transformer.resblocks.5.ln_2,-0.10202168941906804,0.5279761904761905
clip_vit,visual.transformer.resblocks.6.ln_2,-0.007334849943582827,0.5522619047619048
clip_vit,visual.transformer.resblocks.7.ln_2,0.040402271870176025,0.5653571428571428
clip_vit,visual.transformer.resblocks.8.ln_2,0.04743451525924232,0.5778571428571428
clip_vit,visual.transformer.resblocks.9.ln_2,0.007157888693359308,0.5784523809523809
clip_vit,visual.transformer.resblocks.10.ln_2,0.029605624970364813,0.5667857142857142
clip_vit,top,-0.004552255944620729,0.8335714285714286
