sub,age,age_group,cond,duration,speed,target,distractor,acc
6001,5.34,5yrold,complete,0.1,fast,rabbit,fish,0
6001,5.34,5yrold,complete,0.1,fast,dog,rabbit,1
6001,5.34,5yrold,complete,0.1,fast,bird,cow,1
6001,5.34,5yrold,complete,0.1,fast,bear,dog,1
6001,5.34,5yrold,complete,0.1,fast,key,bicycle,1
6001,5.34,5yrold,complete,0.1,fast,cow,duck,1
6001,5.34,5yrold,complete,0.1,fast,fish,cow,1
6002,5.09,5yrold,perturbed,0.3,intro,key,umbrella,1
6002,5.09,5yrold,perturbed,0.3,intro,kite,scissors,1
6002,5.09,5yrold,perturbed,0.25,slow,flower,chair,1
6002,5.09,5yrold,perturbed,0.25,slow,leaf,watch,1
6002,5.09,5yrold,perturbed,0.25,slow,umbrella,lamp,1
6002,5.09,5yrold,perturbed,0.2,slow,fish,frog,1
6002,5.09,5yrold,perturbed,0.2,slow,spoon,bicycle,1
6002,5.09,5yrold,perturbed,0.2,slow,butterfly,dog,1
6002,5.09,5yrold,perturbed,0.15,fast,turtle,duck,1
6002,5.09,5yrold,perturbed,0.15,fast,rabbit,duck,1
6002,5.09,5yrold,perturbed,0.15,fast,chair,toothbrush,1
6002,5.09,5yrold,perturbed,0.1,fast,apple,truck,1
6002,5.09,5yrold,perturbed,0.1,fast,elephant,duck,0
6002,5.09,5yrold,perturbed,0.1,fast,dog,rabbit,0
6002,5.09,5yrold,perturbed,0.1,fast,bear,kangaroo,1
6002,5.09,5yrold,perturbed,0.1,fast,duck,kangaroo,0
6002,5.09,5yrold,perturbed,0.1,fast,squirrel,deer,0
6002,5.09,5yrold,perturbed,0.1,fast,bicycle,chair,1
6002,5.09,5yrold,perturbed,0.1,fast,cat,penguin,0
6002,5.09,5yrold,perturbed,0.1,fast,frog,squirrel,0
6002,5.09,5yrold,perturbed,0.1,fast,bird,deer,1
6002,5.09,5yrold,perturbed,0.1,fast,foot,elephant,1
6002,5.09,5yrold,perturbed,0.1,fast,fork,toothbrush,1
6002,5.09,5yrold,perturbed,0.1,fast,guitar,truck,1
6002,5.09,5yrold,perturbed,0.1,fast,cow,butterfly,1
6002,5.09,5yrold,perturbed,0.1,fast,hand,cow,1
6002,5.09,5yrold,perturbed,0.1,fast,truck,fork,1
6002,5.09,5yrold,perturbed,0.1,fast,lamp,airplane,1
6002,5.09,5yrold,perturbed,0.1,fast,airplane,scissors,1
6002,5.09,5yrold,perturbed,0.1,fast,tree,bicycle,1
6003,5.49,5yrold,deleted,0.3,intro,hand,kangaroo,1
6003,5.49,5yrold,deleted,0.3,intro,turtle,hand,1
6003,5.49,5yrold,deleted,0.3,intro,elephant,cow,0
6003,5.49,5yrold,deleted,0.3,intro,cat,bird,0
6003,5.49,5yrold,deleted,0.3,intro,flower,glasses,1
6003,5.49,5yrold,deleted,0.3,intro,frog,fish,0
6003,5.49,5yrold,deleted,0.3,intro,leaf,tree,1
6003,5.49,5yrold,deleted,0.3,intro,lamp,tree,1
6003,5.49,5yrold,deleted,0.25,slow,apple,kite,1
6003,5.49,5yrold,deleted,0.25,slow,duck,ant,1
6003,5.49,5yrold,deleted,0.25,slow,butterfly,deer,1
6003,5.49,5yrold,deleted,0.2,slow,umbrella,airplane,1
6003,5.49,5yrold,deleted,0.2,slow,foot,hand,1
6003,5.49,5yrold,deleted,0.2,slow,chair,flower,1
6003,5.49,5yrold,deleted,0.2,slow,airplane,key,0
6003,5.49,5yrold,deleted,0.2,slow,spoon,lamp,1
6003,5.49,5yrold,deleted,0.2,slow,key,truck,0
6003,5.49,5yrold,deleted,0.2,slow,bear,hand,1
6003,5.49,5yrold,deleted,0.2,slow,dog,butterfly,1
6003,5.49,5yrold,deleted,0.15,fast,tree,key,1
6003,5.49,5yrold,deleted,0.15,fast,bird,ant,0
6003,5.49,5yrold,deleted,0.15,fast,fork,kite,0
6003,5.49,5yrold,deleted,0.2,slow,bicycle,watch,0
6003,5.49,5yrold,deleted,0.2,slow,kite,fork,1
6003,5.49,5yrold,deleted,0.2,slow,guitar,key,1
6003,5.49,5yrold,deleted,0.15,fast,cow,hand,1
6003,5.49,5yrold,deleted,0.15,fast,fish,squirrel,0
6003,5.49,5yrold,deleted,0.15,fast,truck,lamp,1
6003,5.49,5yrold,deleted,0.15,fast,rabbit,cat,1
6003,5.49,5yrold,deleted,0.1,fast,squirrel,bird,1
6004,5.06,5yrold,complete,0.3,intro,umbrella,airplane,1
6004,5.06,5yrold,complete,0.3,intro,chair,lamp,1
6004,5.06,5yrold,complete,0.25,slow,airplane,kite,1
6004,5.06,5yrold,complete,0.25,slow,bicycle,lamp,1
6004,5.06,5yrold,complete,0.25,slow,frog,cow,1
6004,5.06,5yrold,complete,0.2,slow,fork,kite,1
6004,5.06,5yrold,complete,0.2,slow,fish,penguin,0
6004,5.06,5yrold,complete,0.2,slow,rabbit,cow,1
6004,5.06,5yrold,complete,0.2,slow,spoon,toothbrush,1
6004,5.06,5yrold,complete,0.15,fast,foot,butterfly,1
6004,5.06,5yrold,complete,0.15,fast,hand,fish,1
6004,5.06,5yrold,complete,0.15,fast,bird,turtle,1
6004,5.06,5yrold,complete,0.1,fast,apple,glasses,1
6004,5.06,5yrold,complete,0.1,fast,cat,foot,1
6004,5.06,5yrold,complete,0.1,fast,bear,cat,0
6004,5.06,5yrold,complete,0.1,fast,elephant,turtle,1
6004,5.06,5yrold,complete,0.1,fast,turtle,rabbit,1
6004,5.06,5yrold,complete,0.1,fast,guitar,glasses,1
6004,5.06,5yrold,complete,0.1,fast,key,flower,1
6004,5.06,5yrold,complete,0.1,fast,tree,leaf,1
6004,5.06,5yrold,complete,0.1,fast,cow,cat,0
6004,5.06,5yrold,complete,0.1,fast,truck,apple,1
6004,5.06,5yrold,complete,0.1,fast,squirrel,cow,1
6004,5.06,5yrold,complete,0.1,fast,kite,watch,1
6004,5.06,5yrold,complete,0.1,fast,lamp,chair,1
6004,5.06,5yrold,complete,0.1,fast,dog,hand,1
6004,5.06,5yrold,complete,0.1,fast,leaf,scissors,0
6004,5.06,5yrold,complete,0.1,fast,flower,key,1
6004,5.06,5yrold,complete,0.1,fast,butterfly,fish,1
6004,5.06,5yrold,complete,0.1,fast,duck,cow,1
6005,5.49,5yrold,perturbed,0.3,intro,bear,bird,1
6005,5.49,5yrold,perturbed,0.3,intro,apple,flower,1
6005,5.49,5yrold,perturbed,0.25,slow,spoon,watch,1
6005,5.49,5yrold,perturbed,0.25,slow,bird,penguin,1
6005,5.49,5yrold,perturbed,0.25,slow,fish,rabbit,1
6005,5.49,5yrold,perturbed,0.25,slow,key,tree,0
6005,5.49,5yrold,perturbed,0.25,slow,guitar,spoon,1
6005,5.49,5yrold,perturbed,0.25,slow,elephant,kangaroo,1
6005,5.49,5yrold,perturbed,0.2,slow,cow,dog,1
6005,5.49,5yrold,perturbed,0.2,slow,hand,penguin,1
6005,5.49,5yrold,perturbed,0.2,slow,butterfly,deer,1
6005,5.49,5yrold,perturbed,0.15,fast,rabbit,duck,1
6005,5.49,5yrold,perturbed,0.15,fast,bicycle,spoon,1
6005,5.49,5yrold,perturbed,0.15,fast,duck,squirrel,1
6005,5.49,5yrold,perturbed,0.1,fast,cat,cow,1
6005,5.49,5yrold,perturbed,0.1,fast,turtle,cat,1
6005,5.49,5yrold,perturbed,0.1,fast,frog,dog,1
6005,5.49,5yrold,perturbed,0.1,fast,lamp,flower,1
6005,5.49,5yrold,perturbed,0.1,fast,leaf,umbrella,1
6005,5.49,5yrold,perturbed,0.1,fast,fork,leaf,1
6005,5.49,5yrold,perturbed,0.1,fast,squirrel,frog,1
6005,5.49,5yrold,perturbed,0.1,fast,truck,lamp,1
6005,5.49,5yrold,perturbed,0.1,fast,umbrella,guitar,1
6005,5.49,5yrold,perturbed,0.1,fast,dog,frog,1
6005,5.49,5yrold,perturbed,0.1,fast,airplane,spoon,1
6005,5.49,5yrold,perturbed,0.1,fast,kite,bicycle,1
6005,5.49,5yrold,perturbed,0.1,fast,flower,kite,1
6005,5.49,5yrold,perturbed,0.1,fast,foot,elephant,1
6005,5.49,5yrold,perturbed,0.1,fast,chair,bicycle,1
6005,5.49,5yrold,perturbed,0.1,fast,tree,umbrella,1
6006,5.34,5yrold,deleted,0.3,intro,chair,fork,1
6006,5.34,5yrold,deleted,0.3,intro,umbrella,lamp,0
6006,5.34,5yrold,deleted,0.3,intro,tree,airplane,1
6006,5.34,5yrold,deleted,0.3,intro,frog,deer,1
6006,5.34,5yrold,deleted,0.25,slow,hand,elephant,1
6006,5.34,5yrold,deleted,0.25,slow,rabbit,fish,1
6006,5.34,5yrold,deleted,0.25,slow,bear,cat,1
6006,5.34,5yrold,deleted,0.25,slow,cat,squirrel,0
6006,5.34,5yrold,deleted,0.25,slow,butterfly,fish,1
6006,5.34,5yrold,deleted,0.25,slow,key,guitar,1
6006,5.34,5yrold,deleted,0.25,slow,fish,mouse,0
6006,5.34,5yrold,deleted,0.25,slow,foot,bear,1
6006,5.34,5yrold,deleted,0.25,slow,kite,lamp,1
6006,5.34,5yrold,deleted,0.2,slow,truck,apple,1
6006,5.34,5yrold,deleted,0.2,slow,turtle,mouse,0
6006,5.34,5yrold,deleted,0.2,slow,dog,elephant,1
6006,5.34,5yrold,deleted,0.2,slow,airplane,watch,1
6006,5.34,5yrold,deleted,0.2,slow,cow,kangaroo,0
6006,5.34,5yrold,deleted,0.2,slow,guitar,toothbrush,1
6006,5.34,5yrold,deleted,0.2,slow,squirrel,foot,1
6006,5.34,5yrold,deleted,0.15,fast,duck,squirrel,1
6006,5.34,5yrold,deleted,0.15,fast,spoon,bicycle,0
6006,5.34,5yrold,deleted,0.15,fast,elephant,cow,1
6006,5.34,5yrold,deleted,0.15,fast,bicycle,truck,0
6006,5.34,5yrold,deleted,0.15,fast,bird,frog,0
6006,5.34,5yrold,deleted,0.15,fast,fork,key,1
6006,5.34,5yrold,deleted,0.15,fast,flower,lamp,0
6006,5.34,5yrold,deleted,0.15,fast,leaf,guitar,0
6006,5.34,5yrold,deleted,0.2,slow,lamp,apple,0
6006,5.34,5yrold,deleted,0.2,slow,apple,airplane,1
6007,5.25,5yrold,complete,0.3,intro,hand,cow,1
6007,5.25,5yrold,complete,0.3,intro,squirrel,dog,1
6007,5.25,5yrold,complete,0.25,slow,cow,duck,1
6007,5.25,5yrold,complete,0.25,slow,butterfly,ant,1
6007,5.25,5yrold,complete,0.25,slow,dog,ant,1
6007,5.25,5yrold,complete,0.2,slow,spoon,bicycle,1
6007,5.25,5yrold,complete,0.2,slow,apple,tree,1
6007,5.25,5yrold,complete,0.2,slow,elephant,bear,0
6007,5.25,5yrold,complete,0.2,slow,key,chair,1
6007,5.25,5yrold,complete,0.2,slow,lamp,chair,1
6007,5.25,5yrold,complete,0.2,slow,tree,glasses,0
6007,5.25,5yrold,complete,0.2,slow,guitar,scissors,1
6007,5.25,5yrold,complete,0.2,slow,frog,bear,1
6007,5.25,5yrold,complete,0.15,fast,duck,dog,1
6007,5.25,5yrold,complete,0.15,fast,bear,elephant,1
6007,5.25,5yrold,complete,0.15,fast,foot,cow,0
6007,5.25,5yrold,complete,0.15,fast,truck,lamp,1
6007,5.25,5yrold,complete,0.15,fast,chair,key,1
6007,5.25,5yrold,complete,0.15,fast,kite,leaf,0
6007,5.25,5yrold,complete,0.15,fast,flower,kite,1
6007,5.25,5yrold,complete,0.15,fast,bird,ant,0
6007,5.25,5yrold,complete,0.15,fast,turtle,ant,1
6007,5.25,5yrold,complete,0.15,fast,umbrella,key,1
6007,5.25,5yrold,complete,0.1,fast,fork,airplane,1
6007,5.25,5yrold,complete,0.1,fast,airplane,kite,1
6007,5.25,5yrold,complete,0.1,fast,rabbit,foot,0
6007,5.25,5yrold,complete,0.1,fast,bicycle,fork,1
6007,5.25,5yrold,complete,0.1,fast,cat,elephant,1
6007,5.25,5yrold,complete,0.1,fast,fish,foot,1
6007,5.25,5yrold,complete,0.1,fast,leaf,lamp,1
6009,5.52,5yrold,deleted,0.3,intro,cat,squirrel,1
6009,5.52,5yrold,deleted,0.3,intro,duck,squirrel,1
6009,5.52,5yrold,deleted,0.25,slow,frog,fish,1
6009,5.52,5yrold,deleted,0.25,slow,bird,mouse,1
6009,5.52,5yrold,deleted,0.25,slow,kite,umbrella,1
6009,5.52,5yrold,deleted,0.2,slow,butterfly,foot,1
6009,5.52,5yrold,deleted,0.2,slow,squirrel,rabbit,0
6009,5.52,5yrold,deleted,0.2,slow,elephant,deer,0
6009,5.52,5yrold,deleted,0.2,slow,fish,cat,1
6009,5.52,5yrold,deleted,0.2,slow,cow,kangaroo,1
6009,5.52,5yrold,deleted,0.2,slow,spoon,airplane,0
6009,5.52,5yrold,deleted,0.2,slow,umbrella,airplane,1
6009,5.52,5yrold,deleted,0.2,slow,foot,mouse,1
6009,5.52,5yrold,deleted,0.15,fast,apple,lamp,1
6009,5.52,5yrold,deleted,0.15,fast,airplane,scissors,0
6009,5.52,5yrold,deleted,0.15,fast,chair,fork,1
6009,5.52,5yrold,deleted,0.15,fast,guitar,glasses,1
6009,5.52,5yrold,deleted,0.1,fast,bicycle,chair,1
6009,5.52,5yrold,deleted,0.1,fast,fork,umbrella,1
6009,5.52,5yrold,deleted,0.1,fast,dog,bird,1
6009,5.52,5yrold,deleted,0.1,fast,hand,kangaroo,0
6009,5.52,5yrold,deleted,0.1,fast,key,airplane,1
6009,5.52,5yrold,deleted,0.1,fast,rabbit,butterfly,0
6009,5.52,5yrold,deleted,0.1,fast,leaf,bicycle,0
6009,5.52,5yrold,deleted,0.1,fast,flower,kite,1
6009,5.52,5yrold,deleted,0.1,fast,turtle,duck,1
6009,5.52,5yrold,deleted,0.1,fast,truck,key,1
6009,5.52,5yrold,deleted,0.1,fast,tree,fork,1
6009,5.52,5yrold,deleted,0.1,fast,bear,duck,1
6009,5.52,5yrold,deleted,0.1,fast,lamp,glasses,1
6010,5.54,5yrold,complete,0.3,intro,dog,turtle,1
6010,5.54,5yrold,complete,0.3,intro,kite,spoon,1
6010,5.54,5yrold,complete,0.25,slow,bear,dog,1
6010,5.54,5yrold,complete,0.25,slow,leaf,glasses,0
6010,5.54,5yrold,complete,0.25,slow,frog,squirrel,0
6010,5.54,5yrold,complete,0.25,slow,turtle,rabbit,1
6010,5.54,5yrold,complete,0.25,slow,airplane,tree,1
6010,5.54,5yrold,complete,0.2,slow,rabbit,squirrel,1
6010,5.54,5yrold,complete,0.2,slow,umbrella,guitar,1
6010,5.54,5yrold,complete,0.2,slow,lamp,key,1
6010,5.54,5yrold,complete,0.15,fast,cat,bird,1
6010,5.54,5yrold,complete,0.15,fast,squirrel,frog,1
6010,5.54,5yrold,complete,0.15,fast,chair,guitar,0
6010,5.54,5yrold,complete,0.15,fast,fish,butterfly,1
6010,5.54,5yrold,complete,0.15,fast,hand,mouse,1
6010,5.54,5yrold,complete,0.1,fast,foot,elephant,1
6010,5.54,5yrold,complete,0.1,fast,elephant,frog,1
6010,5.54,5yrold,complete,0.1,fast,duck,cow,1
6010,5.54,5yrold,complete,0.1,fast,apple,bicycle,1
6010,5.54,5yrold,complete,0.1,fast,truck,bicycle,0
6010,5.54,5yrold,complete,0.1,fast,tree,umbrella,1
6010,5.54,5yrold,complete,0.1,fast,spoon,glasses,1
6010,5.54,5yrold,complete,0.1,fast,flower,kite,0
6010,5.54,5yrold,complete,0.1,fast,cow,cat,1
6010,5.54,5yrold,complete,0.1,fast,bird,fish,1
6010,5.54,5yrold,complete,0.1,fast,bicycle,truck,1
6010,5.54,5yrold,complete,0.1,fast,butterfly,penguin,1
6010,5.54,5yrold,complete,0.1,fast,fork,truck,1
6010,5.54,5yrold,complete,0.1,fast,key,scissors,1
6010,5.54,5yrold,complete,0.1,fast,guitar,chair,0
6011,5.38,5yrold,perturbed,0.3,intro,elephant,cow,1
6011,5.38,5yrold,perturbed,0.3,intro,hand,foot,1
6011,5.38,5yrold,perturbed,0.25,slow,flower,apple,1
6011,5.38,5yrold,perturbed,0.25,slow,truck,lamp,1
6011,5.38,5yrold,perturbed,0.25,slow,foot,hand,1
6011,5.38,5yrold,perturbed,0.2,slow,dog,duck,1
6011,5.38,5yrold,perturbed,0.2,slow,apple,watch,1
6011,5.38,5yrold,perturbed,0.2,slow,turtle,cat,0
6011,5.38,5yrold,perturbed,0.2,slow,chair,toothbrush,0
6011,5.38,5yrold,perturbed,0.2,slow,spoon,bicycle,1
6011,5.38,5yrold,perturbed,0.2,slow,airplane,umbrella,0
6011,5.38,5yrold,perturbed,0.2,slow,fork,tree,1
6011,5.38,5yrold,perturbed,0.2,slow,bicycle,fork,1
6011,5.38,5yrold,perturbed,0.15,fast,duck,squirrel,1
6011,5.38,5yrold,perturbed,0.15,fast,cow,duck,1
6011,5.38,5yrold,perturbed,0.15,fast,rabbit,cat,1
6011,5.38,5yrold,perturbed,0.1,fast,key,bicycle,1
6011,5.38,5yrold,perturbed,0.1,fast,frog,dog,1
6011,5.38,5yrold,perturbed,0.1,fast,cat,kangaroo,0
6011,5.38,5yrold,perturbed,0.1,fast,butterfly,fish,1
6011,5.38,5yrold,perturbed,0.1,fast,guitar,tree,1
6011,5.38,5yrold,perturbed,0.1,fast,bear,frog,1
6011,5.38,5yrold,perturbed,0.1,fast,umbrella,chair,0
6011,5.38,5yrold,perturbed,0.1,fast,tree,fork,1
6011,5.38,5yrold,perturbed,0.1,fast,leaf,airplane,0
6011,5.38,5yrold,perturbed,0.1,fast,squirrel,deer,1
6011,5.38,5yrold,perturbed,0.1,fast,lamp,kite,0
6011,5.38,5yrold,perturbed,0.1,fast,kite,flower,0
6011,5.38,5yrold,perturbed,0.1,fast,fish,cow,1
6011,5.38,5yrold,perturbed,0.1,fast,bird,turtle,0
6012,5.57,5yrold,deleted,0.3,intro,dog,ant,1
6012,5.57,5yrold,deleted,0.3,intro,elephant,squirrel,0
6012,5.57,5yrold,deleted,0.3,intro,fish,duck,1
6012,5.57,5yrold,deleted,0.3,intro,umbrella,leaf,0
6012,5.57,5yrold,deleted,0.3,intro,apple,umbrella,1
6012,5.57,5yrold,deleted,0.3,intro,duck,elephant,1
6012,5.57,5yrold,deleted,0.25,slow,cat,rabbit,1
6012,5.57,5yrold,deleted,0.25,slow,truck,umbrella,0
6012,5.57,5yrold,deleted,0.25,slow,key,kite,1
6012,5.57,5yrold,deleted,0.25,slow,squirrel,fish,0
6012,5.57,5yrold,deleted,0.25,slow,chair,flower,0
6012,5.57,5yrold,deleted,0.25,slow,turtle,foot,1
6012,5.57,5yrold,deleted,0.25,slow,hand,kangaroo,0
6012,5.57,5yrold,deleted,0.25,slow,guitar,tree,1
6012,5.57,5yrold,deleted,0.25,slow,foot,elephant,0
6012,5.57,5yrold,deleted,0.25,slow,bird,ant,1
6012,5.57,5yrold,deleted,0.25,slow,tree,umbrella,0
6012,5.57,5yrold,deleted,0.25,slow,leaf,guitar,0
6012,5.57,5yrold,deleted,0.3,intro,flower,umbrella,0
6012,5.57,5yrold,deleted,0.3,intro,cow,bird,1
6012,5.57,5yrold,deleted,0.3,intro,airplane,bicycle,1
6012,5.57,5yrold,deleted,0.3,intro,bicycle,guitar,0
6012,5.57,5yrold,deleted,0.3,intro,bear,bird,0
6012,5.57,5yrold,deleted,0.35,,kite,airplane,0
6012,5.57,5yrold,deleted,0.35,,rabbit,butterfly,1
6012,5.57,5yrold,deleted,0.35,,frog,bird,1
6012,5.57,5yrold,deleted,0.35,,lamp,key,0
6012,5.57,5yrold,deleted,0.35,,fork,spoon,1
6012,5.57,5yrold,deleted,0.35,,spoon,kite,0
6012,5.57,5yrold,deleted,0.35,,butterfly,hand,1
6013,5.79,5yrold,complete,0.3,intro,bear,elephant,1
6013,5.79,5yrold,complete,0.3,intro,bicycle,scissors,1
6013,5.79,5yrold,complete,0.25,slow,apple,key,1
6013,5.79,5yrold,complete,0.25,slow,chair,tree,1
6013,5.79,5yrold,complete,0.25,slow,key,spoon,0
6013,5.79,5yrold,complete,0.25,slow,dog,rabbit,1
6013,5.79,5yrold,complete,0.25,slow,rabbit,kangaroo,1
6013,5.79,5yrold,complete,0.2,slow,cat,rabbit,1
6013,5.79,5yrold,complete,0.2,slow,butterfly,cat,1
6013,5.79,5yrold,complete,0.2,slow,spoon,truck,1
6013,5.79,5yrold,complete,0.15,fast,umbrella,chair,1
6013,5.79,5yrold,complete,0.15,fast,fork,key,1
6013,5.79,5yrold,complete,0.15,fast,guitar,chair,1
6013,5.79,5yrold,complete,0.1,fast,flower,lamp,1
6013,5.79,5yrold,complete,0.1,fast,foot,deer,1
6013,5.79,5yrold,complete,0.1,fast,fish,squirrel,1
6013,5.79,5yrold,complete,0.1,fast,frog,cow,1
6013,5.79,5yrold,complete,0.1,fast,elephant,frog,1
6013,5.79,5yrold,complete,0.1,fast,tree,truck,1
6013,5.79,5yrold,complete,0.1,fast,hand,penguin,1
6013,5.79,5yrold,complete,0.1,fast,leaf,apple,1
6013,5.79,5yrold,complete,0.1,fast,airplane,glasses,0
6013,5.79,5yrold,complete,0.1,fast,bird,foot,1
6013,5.79,5yrold,complete,0.1,fast,cow,kangaroo,1
6013,5.79,5yrold,complete,0.1,fast,truck,fork,1
6013,5.79,5yrold,complete,0.1,fast,lamp,scissors,1
6013,5.79,5yrold,complete,0.1,fast,kite,truck,1
6013,5.79,5yrold,complete,0.1,fast,squirrel,duck,1
6013,5.79,5yrold,complete,0.1,fast,duck,bird,0
6013,5.79,5yrold,complete,0.1,fast,turtle,cat,1
6014,5.47,5yrold,perturbed,0.3,intro,bicycle,chair,1
6014,5.47,5yrold,perturbed,0.3,intro,bear,mouse,1
6014,5.47,5yrold,perturbed,0.25,slow,squirrel,elephant,1
6014,5.47,5yrold,perturbed,0.25,slow,butterfly,mouse,1
6014,5.47,5yrold,perturbed,0.25,slow,cat,squirrel,1
6014,5.47,5yrold,perturbed,0.2,slow,turtle,fish,1
6014,5.47,5yrold,perturbed,0.2,slow,kite,key,0
6014,5.47,5yrold,perturbed,0.2,slow,frog,fish,1
6014,5.47,5yrold,perturbed,0.2,slow,airplane,bicycle,1
6014,5.47,5yrold,perturbed,0.15,fast,chair,guitar,1
6014,5.47,5yrold,perturbed,0.15,fast,apple,truck,1
6014,5.47,5yrold,perturbed,0.15,fast,elephant,bear,1
6014,5.47,5yrold,perturbed,0.1,fast,leaf,watch,1
6014,5.47,5yrold,perturbed,0.1,fast,duck,bear,1
6014,5.47,5yrold,perturbed,0.1,fast,fork,chair,1
6014,5.47,5yrold,perturbed,0.1,fast,cow,turtle,1
6014,5.47,5yrold,perturbed,0.1,fast,fish,ant,1
6014,5.47,5yrold,perturbed,0.1,fast,bird,elephant,1
6014,5.47,5yrold,perturbed,0.1,fast,hand,squirrel,1
6014,5.47,5yrold,perturbed,0.1,fast,foot,frog,1
6014,5.47,5yrold,perturbed,0.1,fast,lamp,leaf,1
6014,5.47,5yrold,perturbed,0.1,fast,rabbit,cow,1
6014,5.47,5yrold,perturbed,0.1,fast,flower,lamp,1
6014,5.47,5yrold,perturbed,0.1,fast,tree,key,1
6014,5.47,5yrold,perturbed,0.1,fast,guitar,glasses,1
6014,5.47,5yrold,perturbed,0.1,fast,key,umbrella,0
6014,5.47,5yrold,perturbed,0.1,fast,truck,guitar,1
6014,5.47,5yrold,perturbed,0.1,fast,spoon,apple,0
6014,5.47,5yrold,perturbed,0.1,fast,umbrella,spoon,0
6014,5.47,5yrold,perturbed,0.1,fast,dog,cow,1
6015,4.48,4yrold,complete,0.3,intro,cat,frog,1
6015,4.48,4yrold,complete,0.3,intro,tree,flower,1
6015,4.48,4yrold,complete,0.25,slow,lamp,airplane,1
6015,4.48,4yrold,complete,0.25,slow,leaf,bicycle,1
6015,4.48,4yrold,complete,0.25,slow,cow,ant,1
6015,4.48,4yrold,complete,0.2,slow,spoon,airplane,1
6015,4.48,4yrold,complete,0.2,slow,kite,apple,1
6015,4.48,4yrold,complete,0.2,slow,frog,duck,1
6015,4.48,4yrold,complete,0.15,fast,airplane,fork,1
6015,4.48,4yrold,complete,0.15,fast,bear,frog,1
6015,4.48,4yrold,complete,0.15,fast,apple,umbrella,1
6015,4.48,4yrold,complete,0.1,fast,turtle,frog,1
6015,4.48,4yrold,complete,0.1,fast,hand,rabbit,1
6015,4.48,4yrold,complete,0.1,fast,dog,bird,1
6015,4.48,4yrold,complete,0.1,fast,bicycle,spoon,1
