model,obj1,obj2,condition,train_acc,acc
vit,bear,foot,Pert,1.0,0.7
vit,bear,frog,Pert,1.0,0.5
vit,bear,hand,Pert,1.0,0.95
vit,bear,rabbit,Pert,1.0,1.0
vit,bear,squirrel,Pert,1.0,0.75
vit,bear,turtle,Pert,1.0,0.6
vit,bird,bear,Pert,1.0,0.5
vit,bird,butterfly,Pert,1.0,0.5
vit,bird,cat,Pert,1.0,0.5
vit,bird,cow,Pert,1.0,0.5
vit,bird,dog,Pert,1.0,0.5
vit,bird,duck,Pert,1.0,0.5
vit,bird,elephant,Pert,1.0,0.5
vit,bird,fish,Pert,1.0,0.6
vit,bird,foot,Pert,1.0,0.5
vit,bird,frog,Pert,1.0,0.65
vit,bird,hand,Pert,1.0,0.5
vit,bird,rabbit,Pert,1.0,0.5
vit,bird,squirrel,Pert,1.0,0.5
vit,bird,turtle,Pert,1.0,0.5
vit,butterfly,bear,Pert,1.0,0.75
vit,butterfly,bird,Pert,1.0,0.5
vit,butterfly,cat,Pert,1.0,0.6
vit,butterfly,cow,Pert,1.0,0.8
vit,butterfly,dog,Pert,1.0,0.6
vit,butterfly,duck,Pert,1.0,0.65
vit,butterfly,elephant,Pert,1.0,0.6
vit,butterfly,fish,Pert,1.0,0.5
vit,butterfly,foot,Pert,1.0,0.5
vit,butterfly,frog,Pert,1.0,0.6
vit,butterfly,hand,Pert,1.0,0.7
vit,butterfly,rabbit,Pert,1.0,0.75
vit,butterfly,squirrel,Pert,1.0,0.55
vit,butterfly,turtle,Pert,1.0,0.85
vit,cat,bear,Pert,1.0,0.35
vit,cat,bird,Pert,1.0,0.5
vit,cat,butterfly,Pert,1.0,0.6
vit,cat,cow,Pert,1.0,0.7
vit,cat,dog,Pert,1.0,0.55
vit,cat,duck,Pert,1.0,0.7
vit,cat,elephant,Pert,1.0,0.5
vit,cat,fish,Pert,1.0,0.5
vit,cat,foot,Pert,1.0,0.55
vit,cat,frog,Pert,1.0,0.5
vit,cat,hand,Pert,1.0,0.85
vit,cat,rabbit,Pert,1.0,0.5
vit,cat,squirrel,Pert,1.0,0.3
vit,cat,turtle,Pert,1.0,0.55
vit,cow,bear,Pert,1.0,0.6
vit,cow,bird,Pert,1.0,0.5
vit,cow,butterfly,Pert,1.0,0.7
vit,cow,cat,Pert,1.0,0.7
vit,cow,dog,Pert,1.0,0.65
vit,cow,duck,Pert,1.0,0.7
vit,cow,elephant,Pert,1.0,0.5
vit,cow,fish,Pert,1.0,0.5
vit,cow,foot,Pert,1.0,0.55
vit,cow,frog,Pert,1.0,0.5
vit,cow,hand,Pert,1.0,0.95
vit,cow,rabbit,Pert,1.0,0.9
vit,cow,squirrel,Pert,1.0,0.7
vit,cow,turtle,Pert,1.0,0.55
vit,dog,bear,Pert,1.0,0.6
vit,dog,bird,Pert,1.0,0.5
vit,dog,butterfly,Pert,1.0,0.7
vit,dog,cat,Pert,1.0,0.65
vit,dog,cow,Pert,1.0,0.55
vit,dog,duck,Pert,1.0,0.7
vit,dog,elephant,Pert,1.0,0.5
vit,dog,fish,Pert,1.0,0.5
vit,dog,foot,Pert,1.0,0.65
vit,dog,frog,Pert,1.0,0.5
vit,dog,hand,Pert,1.0,0.75
vit,dog,rabbit,Pert,1.0,0.65
vit,dog,squirrel,Pert,1.0,0.55
vit,dog,turtle,Pert,1.0,0.5
vit,duck,bear,Pert,1.0,0.9
vit,duck,bird,Pert,1.0,0.5
vit,duck,butterfly,Pert,1.0,0.7
vit,duck,cat,Pert,1.0,0.65
vit,duck,cow,Pert,1.0,0.75
vit,duck,dog,Pert,1.0,0.8
vit,duck,elephant,Pert,1.0,0.6
vit,duck,fish,Pert,1.0,0.5
vit,duck,foot,Pert,1.0,0.75
vit,duck,frog,Pert,1.0,0.5
vit,duck,hand,Pert,1.0,0.65
vit,duck,rabbit,Pert,1.0,0.6
vit,duck,squirrel,Pert,1.0,0.65
vit,duck,turtle,Pert,1.0,0.85
vit,elephant,bear,Pert,1.0,0.5
vit,elephant,bird,Pert,1.0,0.5
vit,elephant,butterfly,Pert,1.0,0.6
vit,elephant,cat,Pert,1.0,0.5
vit,elephant,cow,Pert,1.0,0.5
vit,elephant,dog,Pert,1.0,0.5
vit,elephant,duck,Pert,1.0,0.65
vit,elephant,fish,Pert,1.0,0.5
vit,elephant,foot,Pert,1.0,0.5
vit,elephant,frog,Pert,1.0,0.5
vit,elephant,hand,Pert,1.0,0.65
vit,elephant,rabbit,Pert,1.0,0.85
vit,elephant,squirrel,Pert,1.0,0.5
vit,elephant,turtle,Pert,1.0,0.5
vit,fish,bear,Pert,1.0,0.5
vit,fish,bird,Pert,1.0,0.6
vit,fish,butterfly,Pert,1.0,0.5
vit,fish,cat,Pert,1.0,0.5
vit,fish,cow,Pert,1.0,0.5
vit,fish,dog,Pert,1.0,0.5
vit,fish,duck,Pert,1.0,0.55
vit,fish,elephant,Pert,1.0,0.5
vit,fish,foot,Pert,1.0,0.5
vit,fish,frog,Pert,1.0,0.5
vit,fish,hand,Pert,1.0,0.5
vit,fish,rabbit,Pert,1.0,0.5
vit,fish,squirrel,Pert,1.0,0.5
vit,fish,turtle,Pert,1.0,0.65
vit,foot,bear,Pert,1.0,0.75
vit,foot,bird,Pert,1.0,0.5
vit,foot,butterfly,Pert,1.0,0.55
vit,foot,cat,Pert,1.0,0.55
vit,foot,cow,Pert,1.0,0.5
vit,foot,dog,Pert,1.0,0.65
vit,foot,duck,Pert,1.0,0.8
vit,foot,elephant,Pert,1.0,0.5
vit,foot,fish,Pert,1.0,0.5
vit,foot,frog,Pert,1.0,0.5
vit,foot,hand,Pert,1.0,0.55
vit,foot,rabbit,Pert,1.0,0.65
vit,foot,squirrel,Pert,1.0,0.5
vit,foot,turtle,Pert,1.0,0.6
vit,frog,bear,Pert,1.0,0.5
vit,frog,bird,Pert,1.0,0.55
vit,frog,butterfly,Pert,1.0,0.5
vit,frog,cat,Pert,1.0,0.5
vit,frog,cow,Pert,1.0,0.5
vit,frog,dog,Pert,1.0,0.5
vit,frog,duck,Pert,1.0,0.55
vit,frog,elephant,Pert,1.0,0.5
vit,frog,fish,Pert,1.0,0.5
vit,frog,foot,Pert,1.0,0.5
vit,frog,hand,Pert,1.0,0.55
vit,frog,rabbit,Pert,1.0,0.5
