,obj1,obj2,correlation,zscore,obj1_name,obj2_name
127,OBJ (18).png,OBJ (12).png,0.9986675976616752,0.3595628652286637,elephant,chair
128,OBJ (4).png,OBJ (12).png,0.9965258986602095,-1.114859719492873,apple,chair
129,OBJ (41).png,OBJ (12).png,0.998717757819373,0.3940949209994152,spoon,chair
130,OBJ (47).png,OBJ (12).png,0.9967386181556607,-0.9684159717537284,umbrella,chair
131,OBJ (46).png,OBJ (12).png,0.9984196339634442,0.18885574129918936,turtle,chair
132,OBJ (11).png,OBJ (12).png,0.9985273832897532,0.26303425101962513,cat,chair
133,OBJ (16).png,OBJ (12).png,0.9994303550511004,0.884672472536736,dog,chair
134,OBJ (44).png,OBJ (12).png,0.9970367591268168,-0.7631650093157205,tree,chair
135,OBJ (27).png,OBJ (12).png,0.9982269132697781,0.056179887647432286,guitar,chair
136,OBJ (14).png,OBJ (12).png,0.9992447365275708,0.7568860081234766,cow,chair
137,OBJ (32).png,OBJ (12).png,0.9992627871799857,0.7693127261502675,leaf,chair
138,OBJ (23).png,OBJ (12).png,0.997816978182238,-0.22603416340512097,frog,chair
139,OBJ (29).png,OBJ (12).png,0.9988345921177131,0.47452785206247267,key,chair
140,OBJ (7).png,OBJ (12).png,0.9943434639969977,-2.6173261981699945,bicycle,chair
141,OBJ (8).png,OBJ (12).png,0.9993958845662673,0.860941751595296,bird,chair
142,OBJ (22).png,OBJ (12).png,0.9985523226452983,0.2802033999237617,fork,chair
143,OBJ (42).png,OBJ (12).png,0.9982690743094591,0.08520506301450975,squirrel,chair
144,OBJ (31).png,OBJ (12).png,0.998531433774737,0.26582275049365656,lamp,chair
145,OBJ (45).png,OBJ (12).png,0.9986165619043733,0.32442801521340997,truck,chair
146,OBJ (20).png,OBJ (12).png,0.9993701764292635,0.8432433458979921,flower,chair
147,OBJ (17).png,OBJ (12).png,0.9992730452743955,0.7763747671110474,duck,chair
148,OBJ (30).png,OBJ (12).png,0.998764660685059,0.42638453985259883,kite,chair
149,OBJ (10).png,OBJ (12).png,0.998603524543899,0.31545262758175696,butterfly,chair
150,OBJ (6).png,OBJ (21).png,0.998738643384911,0.40847329513269903,bear,foot
151,OBJ (25).png,OBJ (21).png,0.999101983634834,0.6586097849280536,hand,foot
152,OBJ (1).png,OBJ (21).png,0.9973412045511739,-0.5535738346548099,airplane,foot
153,OBJ (38).png,OBJ (21).png,0.9990142021160193,0.598177831711002,rabbit,foot
154,OBJ (12).png,OBJ (21).png,0.9987113125734728,0.38965778202103835,chair,foot
156,OBJ (19).png,OBJ (21).png,0.9991668117549201,0.7032397933066543,fish,foot
157,OBJ (18).png,OBJ (21).png,0.998113852810514,-0.02165499692964659,elephant,foot
158,OBJ (4).png,OBJ (21).png,0.9983755754075256,0.15852424754019465,apple,foot
159,OBJ (41).png,OBJ (21).png,0.9989784958998433,0.5735963888897658,spoon,foot
160,OBJ (47).png,OBJ (21).png,0.9980608937096279,-0.05811394581068282,umbrella,foot
161,OBJ (46).png,OBJ (21).png,0.9989905202895766,0.5818744110479013,turtle,foot
162,OBJ (11).png,OBJ (21).png,0.9994668230409343,0.9097783477290792,cat,foot
163,OBJ (16).png,OBJ (21).png,0.9987997250965844,0.450524141280118,dog,foot
164,OBJ (44).png,OBJ (21).png,0.9958515912466066,-1.5790771837494222,tree,foot
165,OBJ (27).png,OBJ (21).png,0.9986414903542589,0.34158965626950755,guitar,foot
166,OBJ (14).png,OBJ (21).png,0.9980233663221151,-0.08394914844964148,cow,foot
167,OBJ (32).png,OBJ (21).png,0.9991962633356324,0.7235153202263018,leaf,foot
168,OBJ (23).png,OBJ (21).png,0.9991938287793788,0.7218392841812658,frog,foot
169,OBJ (29).png,OBJ (21).png,0.9991939375437179,0.7219141614622738,key,foot
170,OBJ (7).png,OBJ (21).png,0.9928567443034916,-3.6408374813874125,bicycle,foot
171,OBJ (8).png,OBJ (21).png,0.999468853193383,0.9111759776568852,bird,foot
172,OBJ (22).png,OBJ (21).png,0.9989002057899434,0.5196986627771109,fork,foot
173,OBJ (42).png,OBJ (21).png,0.9974430450727279,-0.4834631585438484,squirrel,foot
174,OBJ (31).png,OBJ (21).png,0.9985587202031669,0.2846077087468967,lamp,foot
175,OBJ (45).png,OBJ (21).png,0.9980513133656257,-0.06470939902638405,truck,foot
