Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,original_subnumber,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.15,right,1,4.1456,,,,,,frog,Stim/OBJ (23)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,fish,0.1992,0,8,8,16,1,23,Animate,3
0.15,right,1,8.5833,,,,,,squirrel,Stim/OBJ (42)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,butterfly,0.1491,0,9,9,25,1,42,Animate,3
0.15,right,1,1.1718,,,,,,duck,Stim/OBJ (17)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,cat,0.1497,0,10,10,10,1,17,Animate,3
0.1,left,1,1.5208,,,,,,cow,Stim/OBJ (14)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,bear,0.1496,0,11,11,8,1,14,Animate,3
0.1,left,1,2.6444,,,,,,turtle,Stim/OBJ (46)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,deer,0.1007,0,12,12,28,1,46,Animate,3
0.1,right,1,1.3339,,,,,,airplane,Stim/OBJ (1)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,fork,0.0998,0,13,13,0,1,1,Inanimate,3
0.1,left,0,1.5651,,,,,,key,Stim/OBJ (29)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,chair,0.0997,0,14,14,19,1,29,Inanimate,3
0.1,left,0,2.1485,,,,,,fork,Stim/OBJ (22)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,airplane,0.1009,0,15,15,15,1,22,Inanimate,3
0.1,left,1,1.6014,,,,,,spoon,Stim/OBJ (41)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,airplane,0.1001,0,16,16,24,1,41,Inanimate,3
0.1,right,0,8.0517,,,,,,bear,Stim/OBJ (6)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,squirrel,0.0991,0,17,17,2,1,6,Animate,3
0.1,left,1,1.7555,,,,,,lamp,Stim/OBJ (31)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,guitar,0.0995,0,18,18,21,1,31,Inanimate,3
0.1,left,1,1.2362,,,,,,rabbit,Stim/OBJ (38)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,dog,0.1002,0,19,19,23,1,38,Animate,3
0.1,right,1,1.2857,,,,,,tree,Stim/OBJ (44)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,glasses,0.1002,0,20,20,26,1,44,Inanimate,3
0.1,left,0,1.3004,,,,,,butterfly,Stim/OBJ (10)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,penguin,0.0985,0,21,21,5,1,10,Animate,3
0.1,left,1,1.1829,,,,,,elephant,Stim/OBJ (18)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,dog,0.0997,0,22,22,11,1,18,Animate,3
0.1,right,1,1.3852,,,,,,hand,Stim/OBJ (25)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,squirrel,0.1008,0,23,23,17,1,25,Animate,3
0.1,right,0,3.1909,,,,,,fish,Stim/OBJ (19)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,turtle,0.0982,0,24,24,12,1,19,Animate,3
0.1,right,1,2.4876,,,,,,truck,Stim/OBJ (45)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,spoon,0.0997,0,25,25,27,1,45,Inanimate,3
0.1,left,1,1.2309,,,,,,foot,Stim/OBJ (21)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,bear,0.0996,0,26,26,14,1,21,Animate,3
0.1,left,1,1.3467,,,,,,kite,Stim/OBJ (30)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,airplane,0.0999,0,27,27,20,1,30,Inanimate,3
0.1,left,0,1.8568,,,,,,cat,Stim/OBJ (11)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,duck,0.1014,0,28,28,6,1,11,Animate,3
0.1,left,1,1.7788,,,,,,umbrella,Stim/OBJ (47)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,glasses,0.0999,0,29,29,29,1,47,Inanimate,3
