Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType
0.2,left,1,2.023595,,,,,,kite,Stim/Complete/OBJ (30).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,apple,0,6,6,20,1,30,Inanimate
0.2,right,1,6.125785,,,,,,frog,Stim/Complete/OBJ (23).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,duck,0,7,7,16,1,23,Animate
0.15,left,1,1.783185,,,,,,airplane,Stim/Complete/OBJ (1).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,fork,0,8,8,0,1,1,Inanimate
0.15,right,1,1.53396,,,,,,bear,Stim/Complete/OBJ (6).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,frog,0,9,9,2,1,6,Animate
0.15,right,1,1.46855,,,,,,apple,Stim/Complete/OBJ (4).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,umbrella,0,10,10,1,1,4,Inanimate
0.1,right,1,1.531285,,,,,,turtle,Stim/Complete/OBJ (46).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,frog,0,11,11,28,1,46,Animate
0.1,right,1,1.33631,,,,,,hand,Stim/Complete/OBJ (25).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,rabbit,0,12,12,17,1,25,Animate
0.1,left,1,1.80186,,,,,,dog,Stim/Complete/OBJ (16).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,bird,0,13,13,9,1,16,Animate
0.1,left,1,2.96738,,,,,,bicycle,Stim/Complete/OBJ (7).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,spoon,0,14,14,3,1,7,Inanimate
0.1,left,1,3.53337,,,,,,truck,Stim/Complete/OBJ (45).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,guitar,0,15,15,27,1,45,Inanimate
0.1,right,0,55.14077,,,,,,fork,Stim/Complete/OBJ (22).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,kite,0,16,16,15,1,22,Inanimate
0.1,left,1,6.332755,,,,,,foot,Stim/Complete/OBJ (21).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,cow,0,17,17,14,1,21,Animate
0.1,left,1,4.034155,,,,,,squirrel,Stim/Complete/OBJ (42).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,turtle,0,18,18,25,1,42,Animate
0.1,right,1,2.124515,,,,,,elephant,Stim/Complete/OBJ (18).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,penguin,0,19,19,11,1,18,Animate
0.1,right,0,9.820995,,,,,,duck,Stim/Complete/OBJ (17).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,frog,0,20,20,10,1,17,Animate
0.1,right,1,9.2661,,,,,,guitar,Stim/Complete/OBJ (27).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,glasses,0,21,21,18,1,27,Inanimate
0.1,left,1,6.422,,,,,,rabbit,Stim/Complete/OBJ (38).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,ant,0,22,22,23,1,38,Animate
0.1,left,1,4.09989,,,,,,chair,Stim/Complete/OBJ (12).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,lamp,0,23,23,7,1,12,Inanimate
0.1,left,1,6.28378,,,,,,butterfly,Stim/Complete/OBJ (10).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,foot,0,24,24,5,1,10,Animate
0.1,left,1,1.640315,,,,,,bird,Stim/Complete/OBJ (8).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,bear,0,25,25,4,1,8,Animate
0.1,left,1,1.444095,,,,,,fish,Stim/Complete/OBJ (19).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,mouse,0,26,26,12,1,19,Animate
0.1,left,1,1.373625,,,,,,umbrella,Stim/Complete/OBJ (47).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,spoon,0,27,27,29,1,47,Inanimate
0.1,right,0,7.685835,,,,,,flower,Stim/Complete/OBJ (20).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,scissors,0,28,28,13,1,20,Inanimate
0.1,right,0,10.31772,,,,,,key,Stim/Complete/OBJ (29).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,flower,0,29,29,19,1,29,Inanimate
