Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType
0.15,left,1,0.57378,,,,,,cat,Stim/Complete/OBJ (11).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,fish,0.15041,0,10,10,6,1,11,Animate
0.1,right,1,0.678425,,,,,,cow,Stim/Complete/OBJ (14).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,frog,0.151195,0,11,11,8,1,14,Animate
0.1,left,1,0.514715,,,,,,leaf,Stim/Complete/OBJ (32).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,guitar,0.102265,0,12,12,22,1,32,Inanimate
0.1,left,1,0.615605,,,,,,squirrel,Stim/Complete/OBJ (42).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,mouse,0.099045,0,13,13,25,1,42,Animate
0.1,left,1,0.55233,,,,,,elephant,Stim/Complete/OBJ (18).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,cat,0.098285,0,14,14,11,1,18,Animate
0.1,left,1,0.68203,,,,,,spoon,Stim/Complete/OBJ (41).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,tree,0.099205,0,15,15,24,1,41,Inanimate
0.1,right,1,1.369875,,,,,,bicycle,Stim/Complete/OBJ (7).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,glasses,0.098495,0,16,16,3,1,7,Inanimate
0.1,left,0,0.4477,,,,,,bird,Stim/Complete/OBJ (8).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,penguin,0.10024,0,17,17,4,1,8,Animate
0.1,left,1,0.66331,,,,,,airplane,Stim/Complete/OBJ (1).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,kite,0.099265,0,18,18,0,1,1,Inanimate
0.1,left,1,0.51833,,,,,,fish,Stim/Complete/OBJ (19).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,elephant,0.09992,0,19,19,12,1,19,Animate
0.1,left,1,0.52454,,,,,,truck,Stim/Complete/OBJ (45).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,scissors,0.10032,0,20,20,27,1,45,Inanimate
0.1,left,1,0.533435,,,,,,umbrella,Stim/Complete/OBJ (47).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,apple,0.10076,0,21,21,29,1,47,Inanimate
0.1,right,1,0.708995,,,,,,flower,Stim/Complete/OBJ (20).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,key,0.099055,0,22,22,13,1,20,Inanimate
0.1,left,1,0.63524,,,,,,fork,Stim/Complete/OBJ (22).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,watch,0.099885,0,23,23,15,1,22,Inanimate
0.1,left,1,0.46336,,,,,,key,Stim/Complete/OBJ (29).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,kite,0.09937,0,24,24,19,1,29,Inanimate
0.1,right,1,0.54727,,,,,,hand,Stim/Complete/OBJ (25).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,deer,0.10028,0,25,25,17,1,25,Animate
0.1,right,1,0.987725,,,,,,bear,Stim/Complete/OBJ (6).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,rabbit,0.101135,0,26,26,2,1,6,Animate
0.1,left,1,0.42873,,,,,,chair,Stim/Complete/OBJ (12).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,kite,0.100515,0,27,27,7,1,12,Inanimate
0.1,right,1,0.635885,,,,,,guitar,Stim/Complete/OBJ (27).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,tree,0.106495,0,28,28,18,1,27,Inanimate
0.1,right,1,0.86444,,,,,,turtle,Stim/Complete/OBJ (46).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,rabbit,0.101655,0,29,29,28,1,46,Animate
