Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,original_subnumber,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.2,right,1,1.7984,,,,,,turtle,Stim/Complete/OBJ (46).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,kangaroo,0.2014,0,7,7,28,1,46,Animate,1
0.15,right,1,1.6955,,,,,,bird,Stim/Complete/OBJ (8).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,deer,0.1998,0,8,8,4,1,8,Animate,1
0.15,left,1,1.6128,,,,,,chair,Stim/Complete/OBJ (12).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,umbrella,0.1505,0,9,9,7,1,12,Inanimate,1
0.15,left,1,1.4933,,,,,,cat,Stim/Complete/OBJ (11).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,bird,0.1477,0,10,10,6,1,11,Animate,1
0.1,right,1,1.5002,,,,,,hand,Stim/Complete/OBJ (25).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,squirrel,0.1521,0,11,11,17,1,25,Animate,1
0.1,right,1,2.6732,,,,,,rabbit,Stim/Complete/OBJ (38).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,bear,0.0986,0,12,12,23,1,38,Animate,1
0.1,right,1,2.615,,,,,,umbrella,Stim/Complete/OBJ (47).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,kite,0.0998,0,13,13,29,1,47,Inanimate,1
0.1,right,1,1.9987,,,,,,kite,Stim/Complete/OBJ (30).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,airplane,0.0959,0,14,14,20,1,30,Inanimate,1
0.1,right,1,1.7636,,,,,,tree,Stim/Complete/OBJ (44).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,bicycle,0.0939,0,15,15,26,1,44,Inanimate,1
0.1,right,1,2.5423,,,,,,lamp,Stim/Complete/OBJ (31).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,fork,0.0946,0,16,16,21,1,31,Inanimate,1
0.1,right,0,7.5481,,,,,,key,Stim/Complete/OBJ (29).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,toothbrush,0.1008,0,17,17,19,1,29,Inanimate,1
0.1,left,1,1.9257,,,,,,apple,Stim/Complete/OBJ (4).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,airplane,0.0973,0,18,18,1,1,4,Inanimate,1
0.1,right,1,5.7954,,,,,,bicycle,Stim/Complete/OBJ (7).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,tree,0.0905,0,19,19,3,1,7,Inanimate,1
0.1,left,1,2.5973,,,,,,guitar,Stim/Complete/OBJ (27).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,toothbrush,0.099,0,20,20,18,1,27,Inanimate,1
0.1,left,1,1.6525,,,,,,flower,Stim/Complete/OBJ (20).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,lamp,0.0997,0,21,21,13,1,20,Inanimate,1
0.1,left,0,6.8451,,,,,,frog,Stim/Complete/OBJ (23).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,squirrel,0.098,0,22,22,16,1,23,Animate,1
0.1,left,1,2.5374,,,,,,spoon,Stim/Complete/OBJ (41).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,flower,0.104,0,23,23,24,1,41,Inanimate,1
0.1,left,0,7.637,,,,,,fish,Stim/Complete/OBJ (19).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,bird,0.0988,0,24,24,12,1,19,Animate,1
0.1,left,1,5.2805,,,,,,leaf,Stim/Complete/OBJ (32).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,airplane,0.0919,0,25,25,22,1,32,Inanimate,1
0.1,right,1,2.0907,,,,,,truck,Stim/Complete/OBJ (45).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,flower,0.096,0,26,26,27,1,45,Inanimate,1
0.1,right,1,2.058,,,,,,airplane,Stim/Complete/OBJ (1).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,spoon,0.0991,0,27,27,0,1,1,Inanimate,1
0.1,right,1,2.0453,,,,,,squirrel,Stim/Complete/OBJ (42).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,bird,0.0991,0,28,28,25,1,42,Animate,1
0.1,right,1,5.786,,,,,,dog,Stim/Complete/OBJ (16).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,frog,0.0998,0,29,29,9,1,16,Animate,1
